src_id,tgt_id,securebert_score,predicted_rel
5.2-3,5.2.5-1,0.9588,EQUIVALENCE
5.8-2,5.2.2-3,0.9588,EQUIVALENCE
5.12-2,5.2.1-2,0.9588,EQUIVALENCE
5.3-6B,5.2.1-4.1,0.9588,EQUIVALENCE
5.1-2,5.1.3-1.2,0.9586,EQUIVALENCE
5.13-1A,5.2.1-4.1,0.9586,EQUIVALENCE
5.8-3,5.2.1-4.1,0.9586,EQUIVALENCE
5.6-8,5.2.2-2,0.9586,EQUIVALENCE
5.6-9,5.2.3-2.1,0.9585,EQUIVALENCE
5.4-4,5.1.2-6,0.9585,EQUIVALENCE
5.5-5,5.2.1-4.1,0.9585,EQUIVALENCE
5.0-1,5.1.2-1.1,0.9585,EQUIVALENCE
5.0-1,5.2.4-1.1,0.9584,EQUIVALENCE
5.5-2,5.2.2-3,0.9584,EQUIVALENCE
5.5-5,5.1.3-1.2,0.9584,EQUIVALENCE
5.6-9,5.3.1-2.1,0.9584,EQUIVALENCE
5.11-4,5.2.4-1,0.9584,EQUIVALENCE
5.6-3,5.4.2-4,0.9583,EQUIVALENCE
5.5-2,5.4.2-3,0.9582,EQUIVALENCE
5.6-3,5.3.1-2.1,0.9582,EQUIVALENCE
5.12-1,5.1.4-1,0.9582,EQUIVALENCE
5.4-4,5.2.2-3,0.9582,EQUIVALENCE
5.6-9,5.1.3-1,0.9582,EQUIVALENCE
5.5-2,5.1.2-1.1,0.958,EQUIVALENCE
5.13-1B,5.2.3-2.1,0.9579,EQUIVALENCE
5.6-9,5.2.2-2,0.9578,EQUIVALENCE
5.0-1,5.2.4-1,0.9578,EQUIVALENCE
5.0-1,5.2.2-2,0.9578,EQUIVALENCE
5.3-6B,5.4.2-4,0.9578,EQUIVALENCE
5.3-3,5.1.3-2,0.9577,EQUIVALENCE
5.11-4,5.1.3-4,0.9576,EQUIVALENCE
5.11-4,5.2.3-2.2,0.9576,EQUIVALENCE
5.5-1,5.1.3-2,0.9575,EQUIVALENCE
5.5-5,5.3.1-2,0.9575,EQUIVALENCE
5.13-1B,5.1.2-6,0.9574,EQUIVALENCE
5.5-2,5.3.1-2,0.9574,EQUIVALENCE
5.3-4B,5.2.1-4.1,0.9574,EQUIVALENCE
5.5-2,5.1.3-1.2,0.9573,EQUIVALENCE
5.11-3,5.3.1-2.2,0.9573,EQUIVALENCE
5.5-1,5.2.3-2,0.9572,EQUIVALENCE
5.0-1,5.2.3-4,0.9572,EQUIVALENCE
5.3-6B,5.3.1-1,0.9571,EQUIVALENCE
5.4-4,5.1.3-1.1,0.957,EQUIVALENCE
5.8-3,5.2.4-3,0.957,EQUIVALENCE
5.13-1B,5.2.2-2,0.957,EQUIVALENCE
5.5-2,5.2.2-2,0.9569,EQUIVALENCE
5.4-3,5.2.4-2,0.9569,EQUIVALENCE
5.5-2,5.2.4-1.1,0.9569,EQUIVALENCE
5.0-1,5.1.1-2,0.9569,EQUIVALENCE
5.8-2,5.2.1-4,0.9568,EQUIVALENCE
5.5-2,5.4.2-4,0.9568,EQUIVALENCE
5.12-2,5.4.2-3,0.9568,EQUIVALENCE
5.3-4B,5.1.3-4,0.9568,EQUIVALENCE
5.0-1,5.3.1-1,0.9568,EQUIVALENCE
5.5-5,5.5.1-1,0.9567,EQUIVALENCE
5.3-6B,5.2.4-3,0.9567,EQUIVALENCE
5.4-3,5.2.1-4.1,0.9566,EQUIVALENCE
5.5-1,5.1.2-6,0.9566,EQUIVALENCE
5.8-3,5.1.3-2,0.9565,EQUIVALENCE
5.5-1,5.3.1-2.1,0.9565,EQUIVALENCE
5.6-3,5.1.3-1,0.9564,EQUIVALENCE
5.6-3,5.4.2-3,0.9563,EQUIVALENCE
5.11-3,5.1.3-2,0.9563,EQUIVALENCE
5.5-1,5.1.2-3,0.9563,EQUIVALENCE
5.11-4,5.1.4-1,0.9563,EQUIVALENCE
5.3-6B,5.2.3-2,0.9562,EQUIVALENCE
5.8-3,5.2.5-4.1,0.9561,EQUIVALENCE
5.3-14,5.1.3-2,0.9561,EQUIVALENCE
5.5-5,5.1.3-1.1,0.9561,EQUIVALENCE
5.5-2,5.2.5-2.1,0.956,EQUIVALENCE
5.5-1,5.2.1-2,0.956,EQUIVALENCE
5.3-6B,5.2.2-2,0.9559,EQUIVALENCE
5.6-1,5.2.2-3,0.9559,EQUIVALENCE
5.2-3,5.1.2-3,0.9559,EQUIVALENCE
5.8-2,5.1.2-6,0.9558,EQUIVALENCE
5.1-2,5.2.2-2,0.9558,EQUIVALENCE
5.6-8,5.1.3-4,0.9557,EQUIVALENCE
5.1-3,5.1.2-6,0.9557,EQUIVALENCE
5.3-4B,5.4.2-4,0.9557,EQUIVALENCE
5.6-3,5.2.2-3,0.9557,EQUIVALENCE
5.4-3,5.1.3-2,0.9557,EQUIVALENCE
5.13-1B,5.4.2-4,0.9557,EQUIVALENCE
5.12-2,5.5.1-1,0.9557,EQUIVALENCE
5.5-2,5.2.1-2,0.9556,EQUIVALENCE
5.6-9,5.2.3-2,0.9556,EQUIVALENCE
5.2-2,5.3.1-3,0.9556,EQUIVALENCE
5.3-4B,5.3.1-3,0.9556,EQUIVALENCE
5.5-2,5.3.1-3,0.9556,EQUIVALENCE
5.3-14,5.2.3-2,0.9555,EQUIVALENCE
5.6-3,5.5.1-1,0.9555,EQUIVALENCE
5.5-1,5.2.4-1.1,0.9555,EQUIVALENCE
5.2-2,5.1.3-4,0.9555,EQUIVALENCE
5.12-1,5.3.1-2.1,0.9554,EQUIVALENCE
5.3-8,5.2.2-3,0.9554,EQUIVALENCE
5.5-1,5.4.2-4,0.9554,EQUIVALENCE
5.1-2,5.1.2-6,0.9554,EQUIVALENCE
5.8-2,5.3.1-3,0.9553,EQUIVALENCE
5.8-2,5.1.2-3,0.9553,EQUIVALENCE
5.6-3,5.1.2-6,0.9552,EQUIVALENCE
5.13-1B,5.2.4-1.1,0.9552,EQUIVALENCE
5.2-2,5.2.1-4.1,0.9552,EQUIVALENCE
5.0-1,5.1.2-4,0.9552,EQUIVALENCE
5.0-1,5.1.2-6,0.9551,EQUIVALENCE
5.13-1A,5.1.2-6,0.9551,EQUIVALENCE
5.13-1B,5.1.3-1.2,0.9551,EQUIVALENCE
5.3-14,5.3.1-2,0.9551,EQUIVALENCE
5.3-3,5.1.3-4,0.955,EQUIVALENCE
5.11-4,5.2.2-6,0.955,EQUIVALENCE
5.11-4,5.2.3-2.1,0.9549,EQUIVALENCE
5.13-1B,5.1.3-4,0.9549,EQUIVALENCE
5.8-3,5.4.2-4,0.9549,EQUIVALENCE
5.12-2,5.3.1-1,0.9548,EQUIVALENCE
5.12-2,5.2.4-1.1,0.9548,EQUIVALENCE
5.5-1,5.2.5-4.1,0.9547,EQUIVALENCE
5.8-2,5.1.2-1,0.9547,EQUIVALENCE
5.12-2,5.1.4-1,0.9547,EQUIVALENCE
5.2-2,5.2.2-3,0.9546,EQUIVALENCE
5.5-5,5.1.3-2,0.9546,EQUIVALENCE
5.11-4,5.1.2-1.1,0.9546,EQUIVALENCE
5.3-11,5.1.3-2,0.9546,EQUIVALENCE
5.11-4,5.3.1-2.1,0.9546,EQUIVALENCE
5.13-1A,5.2.2-2,0.9546,EQUIVALENCE
5.3-6B,5.3.1-3,0.9546,EQUIVALENCE
5.12-1,5.3.1-2.2,0.9546,EQUIVALENCE
5.3-3,5.2.3-2,0.9545,EQUIVALENCE
5.9-2,5.4.2-4,0.9545,EQUIVALENCE
5.6-9,5.1.4-4,0.9545,EQUIVALENCE
5.3-8,5.1.2-1,0.9545,EQUIVALENCE
5.3-5,5.2.3-2.1,0.9545,EQUIVALENCE
5.6-3,5.2.5-4.1,0.9545,EQUIVALENCE
5.6-9,5.2.5-2.1,0.9544,EQUIVALENCE
5.0-1,5.2.2-3,0.9544,EQUIVALENCE
5.13-1A,5.1.2-2,0.9544,EQUIVALENCE
5.3-3,5.2.1-4.1,0.9544,EQUIVALENCE
5.0-1,5.1.4-4,0.9544,EQUIVALENCE
5.5-6,5.3.1-2.1,0.9544,EQUIVALENCE
5.2-2,5.1.2-1,0.9543,EQUIVALENCE
5.1-3,5.1.3-1.2,0.9543,EQUIVALENCE
5.4-3,5.2.2-2,0.9543,EQUIVALENCE
5.13-1B,5.1.4-1,0.9543,EQUIVALENCE
5.6-9,5.1.3-2,0.9543,EQUIVALENCE
5.5-2,5.1.2-6,0.9543,EQUIVALENCE
5.8-2,5.1.3-1.2,0.9543,EQUIVALENCE
5.3-13,5.3.1-2.2,0.9542,EQUIVALENCE
5.6-3,5.1.3-2,0.9542,EQUIVALENCE
5.8-2,5.2.4-3,0.9542,EQUIVALENCE
5.5-2,5.2.4-1.2,0.9542,EQUIVALENCE
5.12-1,5.2.1-2,0.9542,EQUIVALENCE
5.5-5,5.3.1-2.1,0.9542,EQUIVALENCE
5.8-2,5.2.4-2,0.9541,EQUIVALENCE
5.3-12,5.3.1-2.1,0.9541,EQUIVALENCE
5.5-1,5.3.1-3,0.9541,EQUIVALENCE
5.8-2,5.2.3-2,0.9541,EQUIVALENCE
5.5-1,5.1.1-2,0.9541,EQUIVALENCE
5.0-1,5.1.3-1.1,0.9541,EQUIVALENCE
5.8-2,5.2.5-4.1,0.954,EQUIVALENCE
5.11-2,5.3.1-2,0.954,EQUIVALENCE
5.6-8,5.2.2-3,0.954,EQUIVALENCE
5.6-9,5.2.3-4,0.954,EQUIVALENCE
5.5-5,5.1.2-3,0.954,EQUIVALENCE
5.5-2,5.1.4-3,0.9539,EQUIVALENCE
5.12-1,5.2.3-2.1,0.9539,EQUIVALENCE
5.12-2,5.1.2-1.1,0.9539,EQUIVALENCE
5.3-4B,5.2.4-3,0.9539,EQUIVALENCE
5.11-4,5.2.5-2,0.9538,EQUIVALENCE
5.5-2,5.2.5-1,0.9538,EQUIVALENCE
5.2-3,5.1.2-4,0.9538,EQUIVALENCE
5.13-1B,5.1.3-1,0.9537,EQUIVALENCE
5.0-1,5.2.1-4,0.9537,EQUIVALENCE
5.13-1A,5.1.3-1.2,0.9537,EQUIVALENCE
5.6-9,5.1.2-3,0.9537,EQUIVALENCE
5.5-2,5.2.2-6,0.9537,EQUIVALENCE
5.5-8,5.1.2-4,0.9537,EQUIVALENCE
5.5-2,5.4.1-1.1,0.9537,EQUIVALENCE
5.6-3,5.2.4-2,0.9536,EQUIVALENCE
5.5-2,5.2.5-4,0.9536,EQUIVALENCE
5.3-4B,5.2.2-2,0.9536,EQUIVALENCE
5.5-1,5.1.3-1,0.9536,EQUIVALENCE
5.12-3,5.1.3-4,0.9535,EQUIVALENCE
5.13-1B,5.3.1-3,0.9535,EQUIVALENCE
5.8-2,5.2.2-2,0.9535,EQUIVALENCE
5.12-2,5.2.3-2.1,0.9535,EQUIVALENCE
5.5-2,5.2.4-1,0.9535,EQUIVALENCE
5.5-7,5.2.1-4.1,0.9535,EQUIVALENCE
5.5-1,5.1.2-1,0.9535,EQUIVALENCE
5.3-6B,5.3.1-2.2,0.9535,EQUIVALENCE
5.5-2,5.1.3-3,0.9535,EQUIVALENCE
5.6-2,5.1.3-2,0.9534,EQUIVALENCE
5.2-3,5.1.4-3,0.9534,EQUIVALENCE
5.1-4,5.3.1-2,0.9534,EQUIVALENCE
5.3-13,5.3.1-1,0.9534,EQUIVALENCE
5.6-9,5.1.2-4,0.9534,EQUIVALENCE
5.8-2,5.3.1-2,0.9534,EQUIVALENCE
5.6-3,5.1.2-4,0.9534,EQUIVALENCE
5.5-1,5.2.4-2,0.9533,EQUIVALENCE
5.5-1,5.1.2-4,0.9533,EQUIVALENCE
5.6-2,5.2.2-2,0.9533,EQUIVALENCE
5.8-2,5.2.4-1.1,0.9533,EQUIVALENCE
5.3-8,5.2.3-2,0.9533,EQUIVALENCE
5.3-8,5.1.1-2,0.9532,EQUIVALENCE
5.8-3,5.2.2-6,0.9532,EQUIVALENCE
5.3-8,5.1.2-6,0.9532,EQUIVALENCE
5.6-3,5.2.5-4,0.9532,EQUIVALENCE
5.3-6B,5.3.1-2,0.9532,EQUIVALENCE
5.3-16,5.3.1-2.1,0.9532,EQUIVALENCE
5.3-2,5.3.1-2.1,0.9531,EQUIVALENCE
5.3-5,5.3.1-2.1,0.9531,EQUIVALENCE
5.6-1,5.3.1-1,0.9531,EQUIVALENCE
5.3-3,5.2.4-2,0.9531,EQUIVALENCE
5.3-12,5.2.5-4.1,0.953,EQUIVALENCE
5.3-3,5.3.1-1,0.953,EQUIVALENCE
5.3-4B,5.2.3-2,0.953,EQUIVALENCE
5.6-9,5.2.4-1.1,0.953,EQUIVALENCE
5.12-2,5.2.4-1,0.953,EQUIVALENCE
5.12-2,5.2.4-3,0.9529,EQUIVALENCE
5.2-3,5.2.3-2,0.9529,EQUIVALENCE
5.3-14,5.3.1-1,0.9529,EQUIVALENCE
5.13-1B,5.1.2-3,0.9529,EQUIVALENCE
5.12-2,5.1.2-1,0.9529,EQUIVALENCE
5.12-1,5.1.3-4,0.9528,EQUIVALENCE
5.8-2,5.3.1-2.1,0.9528,EQUIVALENCE
5.8-3,5.2.2-3,0.9528,EQUIVALENCE
5.12-2,5.1.3-1.2,0.9528,EQUIVALENCE
5.3-1,5.2.3-2.1,0.9528,EQUIVALENCE
5.1-5,5.3.1-2.1,0.9527,EQUIVALENCE
5.11-1,5.3.1-2,0.9527,EQUIVALENCE
5.11-3,5.3.1-1,0.9527,EQUIVALENCE
5.12-2,5.2.2-3,0.9527,EQUIVALENCE
5.2-2,5.4.1-2,0.9527,EQUIVALENCE
5.8-2,5.4.2-4,0.9527,EQUIVALENCE
5.6-5,5.3.1-2.1,0.9527,EQUIVALENCE
5.1-2,5.2.3-2,0.9527,EQUIVALENCE
5.5-5,5.1.2-4,0.9526,EQUIVALENCE
5.5-1,5.5.1-1,0.9526,EQUIVALENCE
5.1-1,5.3.1-1,0.9526,EQUIVALENCE
5.12-2,5.2.3-2,0.9526,EQUIVALENCE
5.3-8,5.1.3-4,0.9525,EQUIVALENCE
5.5-2,5.5.1-1,0.9524,EQUIVALENCE
5.12-1,5.4.2-3,0.9524,EQUIVALENCE
5.0-1,5.1.4-3,0.9524,EQUIVALENCE
5.0-1,5.1.3-1.3,0.9523,EQUIVALENCE
5.3-6B,5.2.4-2,0.9522,EQUIVALENCE
5.6-9,5.2.4-1,0.9522,EQUIVALENCE
5.3-12,5.3.1-3,0.9522,EQUIVALENCE
5.8-2,5.5.1-1,0.9522,EQUIVALENCE
5.3-1,5.4.2-4,0.9522,EQUIVALENCE
5.11-4,5.2.1-2,0.9521,EQUIVALENCE
5.12-1,5.2.5-4.1,0.9521,EQUIVALENCE
5.6-8,5.4.2-4,0.9521,EQUIVALENCE
5.3-7,5.1.2-4,0.9521,EQUIVALENCE
5.3-4B,5.2.2-3,0.9521,EQUIVALENCE
5.6-1,5.2.3-2,0.9521,EQUIVALENCE
5.12-2,5.1.1-2,0.9521,EQUIVALENCE
5.6-3,5.2.3-2.1,0.9521,EQUIVALENCE
5.5-8,5.1.3-1.1,0.9521,EQUIVALENCE
5.4-4,5.2.3-2,0.952,EQUIVALENCE
5.5-8,5.3.1-2.1,0.952,EQUIVALENCE
5.5-1,5.1.3-1.1,0.952,EQUIVALENCE
5.12-2,5.2.3-2.2,0.952,EQUIVALENCE
5.1-4,5.2.3-2,0.952,EQUIVALENCE
5.1-2,5.2.2-3,0.952,EQUIVALENCE
5.0-1,5.2.4-1.2,0.952,EQUIVALENCE
5.3-6B,5.5.1-1,0.952,EQUIVALENCE
5.0-1,5.3.1-2.2,0.9519,EQUIVALENCE
5.5-2,5.1.2-1,0.9519,EQUIVALENCE
5.12-3,5.1.3-2,0.9518,EQUIVALENCE
5.6-1,5.1.3-2,0.9518,EQUIVALENCE
5.12-3,5.2.4-3,0.9518,EQUIVALENCE
5.6-2,5.3.1-1,0.9518,EQUIVALENCE
5.6-3,5.3.1-3,0.9518,EQUIVALENCE
5.6-9,5.1.2-1.1,0.9518,EQUIVALENCE
5.8-3,5.1.2-3,0.9518,EQUIVALENCE
5.3-6B,5.2.5-4.1,0.9517,EQUIVALENCE
5.6-1,5.1.2-6,0.9517,EQUIVALENCE
5.8-2,5.1.2-4,0.9517,EQUIVALENCE
5.1-3,5.2.3-2,0.9517,EQUIVALENCE
5.3-8,5.1.3-1.1,0.9517,EQUIVALENCE
5.5-5,5.2.4-2,0.9517,EQUIVALENCE
5.2-2,5.2.4-3,0.9517,EQUIVALENCE
5.2-2,5.1.2-3,0.9517,EQUIVALENCE
5.6-5,5.1.2-6,0.9516,EQUIVALENCE
5.12-2,5.1.2-4,0.9516,EQUIVALENCE
5.12-3,5.3.1-2,0.9516,EQUIVALENCE
5.5-1,5.3.1-2,0.9516,EQUIVALENCE
5.13-1A,5.1.2-3,0.9516,EQUIVALENCE
5.6-9,5.3.1-2.2,0.9516,EQUIVALENCE
5.12-2,5.1.3-1,0.9516,EQUIVALENCE
5.12-3,5.3.1-1,0.9515,EQUIVALENCE
5.13-1A,5.3.1-2,0.9515,EQUIVALENCE
5.3-6B,5.2.1-2,0.9515,EQUIVALENCE
5.3-5,5.4.2-3,0.9515,EQUIVALENCE
5.12-1,5.2.5-2.1,0.9515,EQUIVALENCE
5.3-3,5.3.1-2,0.9515,EQUIVALENCE
5.3-8,5.3.1-1,0.9515,EQUIVALENCE
5.13-1B,5.4.2-3,0.9514,EQUIVALENCE
5.3-3,5.2.4-3,0.9514,EQUIVALENCE
5.12-2,5.2.2-6,0.9514,EQUIVALENCE
5.5-5,5.1.2-1,0.9514,EQUIVALENCE
5.2-3,5.4.1-1.1,0.9514,EQUIVALENCE
5.9-2,5.1.3-4,0.9514,EQUIVALENCE
5.3-8,5.2.1-4.1,0.9514,EQUIVALENCE
5.3-5,5.1.4-1,0.9514,EQUIVALENCE
5.11-4,5.3.1-2,0.9513,EQUIVALENCE
5.13-1A,5.2.3-2.1,0.9513,EQUIVALENCE
5.11-4,5.2.4-2.1,0.9513,EQUIVALENCE
5.13-1B,5.2.5-2,0.9513,EQUIVALENCE
5.6-8,5.2.1-2,0.9512,EQUIVALENCE
5.9-3,5.1.2-3,0.9512,EQUIVALENCE
5.6-3,5.1.2-2,0.9512,EQUIVALENCE
5.3-12,5.4.2-4,0.9512,EQUIVALENCE
5.0-1,5.2.5-1,0.9512,EQUIVALENCE
5.11-2,5.3.1-2.2,0.9512,EQUIVALENCE
5.4-4,5.1.2-3,0.9512,EQUIVALENCE
5.5-2,5.1.2-2,0.9512,EQUIVALENCE
5.11-3,5.2.1-4.1,0.9512,EQUIVALENCE
5.6-9,5.2.5-4,0.9512,EQUIVALENCE
5.0-1,5.1.3-1.2,0.9511,EQUIVALENCE
5.3-5,5.4.2-4,0.9511,EQUIVALENCE
5.6-8,5.1.3-1.2,0.9511,EQUIVALENCE
5.13-1A,5.2.4-1.1,0.9511,EQUIVALENCE
5.12-3,5.3.1-3,0.9511,EQUIVALENCE
5.3-13,5.2.3-2,0.9511,EQUIVALENCE
5.6-3,5.1.4-1,0.9511,EQUIVALENCE
5.0-1,5.2.1-2,0.9511,EQUIVALENCE
5.8-1,5.1.2-5,0.9511,EQUIVALENCE
5.8-2,5.1.3-1,0.9511,EQUIVALENCE
5.8-2,5.1.1-2,0.9511,EQUIVALENCE
5.5-5,5.2.5-1,0.951,EQUIVALENCE
5.6-3,5.3.1-2,0.951,EQUIVALENCE
5.5-6,5.2.4-1.1,0.951,EQUIVALENCE
5.8-3,5.1.2-6,0.951,EQUIVALENCE
5.2-1,5.2.1-4.1,0.951,EQUIVALENCE
5.1-3,5.2.2-3,0.951,EQUIVALENCE
5.0-1,5.4.2-1,0.951,EQUIVALENCE
5.1-2,5.5.1-1,0.951,EQUIVALENCE
5.2-1,5.1.3-4,0.951,EQUIVALENCE
5.11-4,5.4.2-3,0.951,EQUIVALENCE
5.2-2,5.2.4-2,0.9509,EQUIVALENCE
5.3-4B,5.3.1-1,0.9509,EQUIVALENCE
5.12-2,5.1.2-6,0.9509,EQUIVALENCE
5.3-14,5.3.1-2.1,0.9509,EQUIVALENCE
5.3-4B,5.2.4-2,0.9509,EQUIVALENCE
5.3-4B,5.1.2-3,0.9509,EQUIVALENCE
5.12-1,5.2.1-4.1,0.9508,EQUIVALENCE
5.6-3,5.2.2-6,0.9508,EQUIVALENCE
5.3-13,5.3.1-2,0.9508,EQUIVALENCE
5.11-4,5.2.3-4,0.9508,EQUIVALENCE
5.6-3,5.1.2-3,0.9508,EQUIVALENCE
5.6-3,5.2.1-2,0.9508,EQUIVALENCE
5.2-3,5.2.2-1,0.9508,EQUIVALENCE
5.13-1A,5.2.5-3,0.9508,EQUIVALENCE
5.5-4,5.2.2-2,0.9507,EQUIVALENCE
5.0-1,5.1.2-1,0.9507,EQUIVALENCE
5.7-1,5.2.2-3,0.9507,EQUIVALENCE
5.6-9,5.2.1-4,0.9507,EQUIVALENCE
5.1-3,5.1.2-3,0.9507,EQUIVALENCE
5.2-3,5.3.1-2,0.9506,EQUIVALENCE
5.13-1B,5.2.4-1,0.9506,EQUIVALENCE
5.6-2,5.2.2-3,0.9506,EQUIVALENCE
5.1-5,5.2.3-2,0.9506,EQUIVALENCE
5.12-3,5.2.1-4.1,0.9506,EQUIVALENCE
5.6-8,5.1.3-1,0.9505,EQUIVALENCE
5.5-1,5.1.2-2,0.9505,EQUIVALENCE
5.1-4,5.3.1-1,0.9505,EQUIVALENCE
5.1-4,5.3.1-2.1,0.9505,EQUIVALENCE
5.6-3,5.3.1-1,0.9505,EQUIVALENCE
5.5-7,5.2.2-3,0.9505,EQUIVALENCE
5.5-2,5.1.1-2,0.9504,EQUIVALENCE
5.9-2,5.3.1-3,0.9504,EQUIVALENCE
5.6-2,5.1.3-1.2,0.9504,EQUIVALENCE
5.5-1,5.2.4-3,0.9504,EQUIVALENCE
5.12-1,5.3.1-3,0.9504,EQUIVALENCE
5.2-1,5.1.3-2,0.9503,EQUIVALENCE
5.9-1,5.2.1-2,0.9503,EQUIVALENCE
5.1-3,5.3.1-2.1,0.9502,EQUIVALENCE
5.1-3,5.3.1-2,0.9502,EQUIVALENCE
5.5-5,5.1.4-3,0.9501,EQUIVALENCE
5.3-4B,5.1.2-6,0.9501,EQUIVALENCE
5.3-4A,5.1.4-1,0.9501,EQUIVALENCE
5.2-1,5.2.4-3,0.9501,EQUIVALENCE
5.1-1,5.1.2-6,0.9501,EQUIVALENCE
