src_id,tgt_id,cysecbert_score,predicted_rel
5.3-6B,5.2.1-2,0.8884,EQUIVALENCE
5.5-8,5.1.3-1.1,0.8883,EQUIVALENCE
5.4-4,5.1.1-2.2,0.8882,EQUIVALENCE
5.3-14,5.2.5-3,0.8882,EQUIVALENCE
5.5-2,5.1.3-1.1,0.8882,EQUIVALENCE
5.8-3,5.2.4-1,0.8882,EQUIVALENCE
5.5-2,5.1.1-2.2,0.8881,EQUIVALENCE
5.6-3,5.2.5-4,0.8881,EQUIVALENCE
5.6-2,5.3.1-2,0.888,EQUIVALENCE
5.12-3,5.2.2-2,0.888,EQUIVALENCE
5.3-14,5.1.3-4,0.8879,EQUIVALENCE
5.2-2,5.2.4-3,0.8879,EQUIVALENCE
5.2-2,5.4.1-2,0.8878,EQUIVALENCE
5.6-1,5.5.1-1,0.8877,EQUIVALENCE
5.3-14,5.2.4-2,0.8876,EQUIVALENCE
5.6-2,5.2.2-2,0.8875,EQUIVALENCE
5.12-1,5.2.4-1,0.8875,EQUIVALENCE
5.1-2,5.2.1-4.1,0.8872,EQUIVALENCE
5.3-3,5.2.4-3,0.8872,EQUIVALENCE
5.1-2,5.2.3-2,0.8871,EQUIVALENCE
5.6-4A,5.1.3-2,0.887,EQUIVALENCE
5.11-4,5.1.2-6,0.8869,EQUIVALENCE
5.5-1,5.1.2-4,0.8868,EQUIVALENCE
5.3-8,5.2.1-2,0.8868,EQUIVALENCE
5.1-2,5.1.2-3,0.8867,EQUIVALENCE
5.3-5,5.1.3-1.1,0.8866,EQUIVALENCE
5.8-3,5.2.3-4,0.8865,EQUIVALENCE
5.3-6A,5.2.2-2,0.8865,EQUIVALENCE
5.3-10,5.1.2-6,0.8864,EQUIVALENCE
5.8-2,5.2.2-3,0.8863,EQUIVALENCE
5.11-4,5.3.1-2,0.8863,EQUIVALENCE
5.5-1,5.1.2-1,0.8863,EQUIVALENCE
5.4-4,5.2.2-1,0.8863,EQUIVALENCE
5.5-7,5.2.2-3,0.8863,EQUIVALENCE
5.4-4,5.3.1-3,0.8861,EQUIVALENCE
5.5-2,5.2.3-2.1,0.8861,EQUIVALENCE
5.3-4B,5.4.1-2,0.8861,EQUIVALENCE
5.6-2,5.5.1-1,0.886,EQUIVALENCE
5.6-4A,5.1.3-4,0.886,EQUIVALENCE
5.5-1,5.1.2-3,0.8859,EQUIVALENCE
5.12-1,5.1.4-3,0.8858,EQUIVALENCE
5.6-9,5.2.4-1.1,0.8858,EQUIVALENCE
5.3-11,5.1.2-7,0.8858,EQUIVALENCE
5.3-6B,5.3.1-3,0.8858,EQUIVALENCE
5.4-4,5.1.3-1.1,0.8857,EQUIVALENCE
5.0-1,5.2.1-2,0.8856,EQUIVALENCE
5.2-1,5.1.2-1,0.8856,EQUIVALENCE
5.6-3,5.3.1-1,0.8856,EQUIVALENCE
5.7-2,5.2.1-4.1,0.8856,EQUIVALENCE
5.0-1,5.2.4-2,0.8855,EQUIVALENCE
5.2-1,5.1.2-3,0.8855,EQUIVALENCE
5.6-1,5.2.1-4.1,0.8854,EQUIVALENCE
5.6-4A,5.2.4-3,0.8853,EQUIVALENCE
5.7-2,5.3.1-3,0.8852,EQUIVALENCE
5.6-9,5.1.1-2,0.8851,EQUIVALENCE
5.5-2,5.2.1-4.1,0.8851,EQUIVALENCE
5.2-2,5.2.1-4.1,0.8851,EQUIVALENCE
5.3-14,5.2.1-4.1,0.885,EQUIVALENCE
5.12-3,5.1.2-1.1,0.885,EQUIVALENCE
5.12-1,5.3.1-2,0.885,EQUIVALENCE
5.6-9,5.1.4-2,0.8849,EQUIVALENCE
5.6-9,5.4.2-3,0.8847,EQUIVALENCE
5.1-5,5.1.2-6,0.8847,EQUIVALENCE
5.3-4B,5.1.1-2,0.8845,EQUIVALENCE
5.3-13,5.2.4-1,0.8845,EQUIVALENCE
5.7-2,5.2.3-2,0.8844,EQUIVALENCE
5.10-1,5.1.2-4,0.8844,EQUIVALENCE
5.6-9,5.1.2-4,0.8844,EQUIVALENCE
5.3-8,5.5.1-1,0.8843,EQUIVALENCE
5.1-4,5.2.2-2,0.8843,EQUIVALENCE
5.3-8,5.1.3-1.1,0.8843,EQUIVALENCE
5.12-3,5.3.1-3,0.8843,EQUIVALENCE
5.8-1,5.2.2-3,0.8842,EQUIVALENCE
5.3-6B,5.2.4-2,0.8842,EQUIVALENCE
5.6-3,5.2.4-3,0.8841,EQUIVALENCE
5.4-3,5.5.1-1,0.8841,EQUIVALENCE
5.12-1,5.2.2-6,0.8839,EQUIVALENCE
5.1-2,5.2.2-3,0.8839,EQUIVALENCE
5.3-5,5.1.2-6,0.8839,EQUIVALENCE
5.10-1,5.1.2-6,0.8837,EQUIVALENCE
5.4-4,5.1.2-2,0.8836,EQUIVALENCE
5.8-3,5.2.4-1.2,0.8836,EQUIVALENCE
5.2-2,5.2.2-2,0.8835,EQUIVALENCE
5.12-3,5.1.2-4,0.8834,EQUIVALENCE
5.3-3,5.1.2-6,0.8834,EQUIVALENCE
5.8-3,5.1.2-7,0.8834,EQUIVALENCE
5.3-8,5.2.4-1.1,0.8833,EQUIVALENCE
5.5-8,5.1.2-6,0.8832,EQUIVALENCE
5.3-13,5.2.4-2,0.8832,EQUIVALENCE
5.11-2,5.2.2-3,0.8832,EQUIVALENCE
5.6-9,5.2.2-6,0.8832,EQUIVALENCE
5.11-4,5.3.1-3,0.8831,EQUIVALENCE
5.2-2,5.1.3-4,0.8831,EQUIVALENCE
5.11-2,5.1.3-1.2,0.8831,EQUIVALENCE
5.3-14,5.2.4-1.1,0.8831,EQUIVALENCE
5.11-2,5.1.2-1.1,0.8831,EQUIVALENCE
5.5-7,5.1.2-6,0.883,EQUIVALENCE
5.2-2,5.2.1-2,0.883,EQUIVALENCE
5.6-8,5.2.2-3,0.8829,EQUIVALENCE
5.5-2,5.1.2-7,0.8829,EQUIVALENCE
5.0-1,5.1.4-3,0.8829,EQUIVALENCE
5.6-9,5.1.4-3,0.8828,EQUIVALENCE
5.4-3,5.2.2-2,0.8828,EQUIVALENCE
5.7-1,5.1.2-6,0.8827,EQUIVALENCE
5.3-5,5.2.4-3,0.8826,EQUIVALENCE
5.3-8,5.1.2-1,0.8826,EQUIVALENCE
5.5-2,5.4.1-2,0.8826,EQUIVALENCE
5.4-2,5.5.1-1,0.8826,EQUIVALENCE
5.2-1,5.2.4-3,0.8825,EQUIVALENCE
5.3-5,5.3.1-2,0.8825,EQUIVALENCE
5.8-3,5.3.1-1,0.8825,EQUIVALENCE
5.6-2,5.1.3-1.1,0.8824,EQUIVALENCE
5.12-3,5.2.4-2,0.8824,EQUIVALENCE
5.2-1,5.2.4-1.1,0.8823,EQUIVALENCE
5.3-13,5.3.1-2,0.8823,EQUIVALENCE
5.3-8,5.2.3-2,0.8822,EQUIVALENCE
5.3-13,5.1.2-3,0.8822,EQUIVALENCE
5.3-14,5.2.2-2,0.8822,EQUIVALENCE
5.4-4,5.1.3-1.2,0.8821,EQUIVALENCE
5.1-1,5.2.3-2,0.8821,EQUIVALENCE
5.8-2,5.1.3-1.3,0.8821,EQUIVALENCE
5.6-8,5.2.2-2,0.8821,EQUIVALENCE
5.11-4,5.1.3-2,0.882,EQUIVALENCE
5.5-1,5.1.3-1.3,0.882,EQUIVALENCE
5.5-1,5.1.3-1.1,0.882,EQUIVALENCE
5.6-9,5.1.1-2.1,0.8819,EQUIVALENCE
5.2-1,5.3.1-1,0.8819,EQUIVALENCE
5.1-3,5.1.2-3,0.8819,EQUIVALENCE
5.11-2,5.2.2-6,0.8819,EQUIVALENCE
5.9-3,5.1.2-3,0.8818,EQUIVALENCE
5.8-2,5.1.3-1.1,0.8818,EQUIVALENCE
5.5-2,5.2.5-1,0.8818,EQUIVALENCE
5.3-13,5.2.4-3,0.8818,EQUIVALENCE
5.6-4A,5.2.4-2,0.8817,EQUIVALENCE
5.3-14,5.1.4-4,0.8816,EQUIVALENCE
5.8-1,5.3.1-3,0.8816,EQUIVALENCE
5.0-1,5.2.1-4,0.8815,EQUIVALENCE
5.12-1,5.1.4-1,0.8814,EQUIVALENCE
5.3-11,5.1.3-1.1,0.8814,EQUIVALENCE
5.6-5,5.3.1-2,0.8814,EQUIVALENCE
5.8-3,5.3.1-2.2,0.8813,EQUIVALENCE
5.11-1,5.3.1-2,0.8813,EQUIVALENCE
5.5-5,5.2.2-2,0.8813,EQUIVALENCE
5.1-3,5.2.2-3,0.8813,EQUIVALENCE
5.5-6,5.1.2-5,0.8812,EQUIVALENCE
5.12-3,5.2.1-4.1,0.8812,EQUIVALENCE
5.6-9,5.2.5-2.1,0.8811,EQUIVALENCE
5.11-4,5.3.1-2.2,0.8811,EQUIVALENCE
5.12-2,5.1.2-1,0.881,EQUIVALENCE
5.12-1,5.2.2-3,0.8809,EQUIVALENCE
5.1-3,5.1.2-5,0.8809,EQUIVALENCE
5.7-2,5.3.1-2,0.8809,EQUIVALENCE
5.6-5,5.1.4-4,0.8809,EQUIVALENCE
5.8-1,5.1.3-1.3,0.8809,EQUIVALENCE
5.7-1,5.2.2-3,0.8808,EQUIVALENCE
5.12-2,5.2.3-2,0.8808,EQUIVALENCE
5.5-2,5.2.3-2,0.8808,EQUIVALENCE
5.3-6A,5.1.2-6,0.8807,EQUIVALENCE
5.12-3,5.1.3-1.1,0.8807,EQUIVALENCE
5.9-1,5.1.3-4,0.8806,EQUIVALENCE
5.1-3,5.3.1-2,0.8806,EQUIVALENCE
5.5-5,5.2.1-4.1,0.8806,EQUIVALENCE
5.3-11,5.3.1-3,0.8806,EQUIVALENCE
5.0-1,5.2.4-2.1,0.8806,EQUIVALENCE
5.6-3,5.2.3-2,0.8806,EQUIVALENCE
5.4-4,5.2.4-1.1,0.8805,EQUIVALENCE
5.3-13,5.1.2-6,0.8805,EQUIVALENCE
5.6-5,5.2.5-4,0.8805,EQUIVALENCE
5.3-14,5.2.2-6,0.8804,EQUIVALENCE
5.5-5,5.3.1-2,0.8804,EQUIVALENCE
5.11-4,5.2.2-3,0.8804,EQUIVALENCE
5.11-2,5.1.2-3,0.8802,EQUIVALENCE
5.3-4B,5.1.3-1.1,0.8802,EQUIVALENCE
5.6-1,5.1.3-1.1,0.8802,EQUIVALENCE
5.5-2,5.2.4-3,0.8801,EQUIVALENCE
5.12-3,5.2.3-2,0.8801,EQUIVALENCE
5.2-2,5.1.2-6,0.8801,EQUIVALENCE
5.5-7,5.3.1-1,0.8801,EQUIVALENCE
5.3-4B,5.2.4-2,0.8801,EQUIVALENCE
5.4-3,5.2.2-3,0.8801,EQUIVALENCE
5.3-11,5.1.1-2,0.88,EQUIVALENCE
5.3-8,5.1.1-2.1,0.88,EQUIVALENCE
5.11-2,5.2.1-4.1,0.88,EQUIVALENCE
5.12-3,5.2.1-2,0.8799,EQUIVALENCE
5.6-5,5.3.1-2.1,0.8799,EQUIVALENCE
5.3-6B,5.1.2-1.1,0.8799,EQUIVALENCE
5.5-2,5.4.1-3,0.8799,EQUIVALENCE
5.6-9,5.2.3-2.1,0.8798,EQUIVALENCE
5.1-2,5.3.1-1,0.8798,EQUIVALENCE
5.2-1,5.4.1-1,0.8797,EQUIVALENCE
5.1-3,5.2.4-3,0.8797,EQUIVALENCE
5.3-14,5.3.1-3,0.8797,EQUIVALENCE
5.3-5,5.1.4-4,0.8796,EQUIVALENCE
5.1-3,5.1.3-1.3,0.8796,EQUIVALENCE
5.6-4A,5.3.1-2,0.8795,EQUIVALENCE
5.12-2,5.1.2-1.1,0.8795,EQUIVALENCE
5.4-4,5.2.4-1,0.8794,EQUIVALENCE
5.3-9,5.2.4-3,0.8794,EQUIVALENCE
5.4-2,5.3.1-1,0.8794,EQUIVALENCE
5.7-2,5.3.1-1,0.8794,EQUIVALENCE
5.12-2,5.2.4-2.1,0.8794,EQUIVALENCE
5.3-13,5.2.5-1,0.8793,EQUIVALENCE
5.11-4,5.2.3-4,0.8793,EQUIVALENCE
5.3-4B,5.4.2-4,0.8793,EQUIVALENCE
5.3-3,5.2.4-2,0.8793,EQUIVALENCE
5.8-2,5.3.1-2,0.8793,EQUIVALENCE
5.12-2,5.3.1-3,0.8792,EQUIVALENCE
5.5-2,5.1.4-5,0.8792,EQUIVALENCE
5.2-2,5.2.4-1.1,0.8792,EQUIVALENCE
5.11-1,5.1.2-6,0.8792,EQUIVALENCE
5.3-3,5.5.1-1,0.8791,EQUIVALENCE
5.3-14,5.2.1-2,0.8791,EQUIVALENCE
5.3-5,5.1.2-1.1,0.8791,EQUIVALENCE
5.12-1,5.2.5-3,0.879,EQUIVALENCE
5.5-2,5.1.2-3,0.8789,EQUIVALENCE
5.3-14,5.5.1-1,0.8788,EQUIVALENCE
5.2-2,5.1.2-1,0.8788,EQUIVALENCE
5.3-4B,5.2.4-1.1,0.8787,EQUIVALENCE
5.2-1,5.2.4-1,0.8787,EQUIVALENCE
5.4-4,5.3.1-1,0.8787,EQUIVALENCE
5.1-5,5.2.4-3,0.8786,EQUIVALENCE
5.3-3,5.2.2-3,0.8786,EQUIVALENCE
5.1-3,5.2.1-4.1,0.8786,EQUIVALENCE
5.6-2,5.1.3-4,0.8786,EQUIVALENCE
5.5-5,5.2.5-4,0.8786,EQUIVALENCE
5.2-2,5.1.2-4,0.8785,EQUIVALENCE
5.6-5,5.2.5-2,0.8785,EQUIVALENCE
5.1-2,5.1.3-1.2,0.8785,EQUIVALENCE
5.8-3,5.2.2-3,0.8784,EQUIVALENCE
5.6-2,5.1.3-2,0.8784,EQUIVALENCE
5.7-2,5.1.2-3,0.8783,EQUIVALENCE
5.5-2,5.1.4-2,0.8783,EQUIVALENCE
5.5-2,5.1.3-2,0.8782,EQUIVALENCE
5.12-3,5.1.2-7,0.8782,EQUIVALENCE
5.7-2,5.1.3-1.1,0.8781,EQUIVALENCE
5.8-1,5.1.3-1.1,0.8781,EQUIVALENCE
5.4-2,5.1.2-4,0.878,EQUIVALENCE
5.6-5,5.1.2-5,0.8779,EQUIVALENCE
5.5-2,5.4.2-4,0.8779,EQUIVALENCE
5.3-11,5.1.2-1,0.8779,EQUIVALENCE
5.3-3,5.1.3-4,0.8779,EQUIVALENCE
5.5-1,5.3.1-3,0.8779,EQUIVALENCE
5.3-4B,5.2.4-2.1,0.8779,EQUIVALENCE
5.9-1,5.1.2-1.1,0.8778,EQUIVALENCE
5.1-3,5.3.1-2.1,0.8778,EQUIVALENCE
5.3-8,5.1.2-1.1,0.8778,EQUIVALENCE
