src_id,tgt_id,bert_score,predicted_rel
5.12-3,5.2.1-4.1,0.8853,EQUIVALENCE
5.3-14,5.1.2-6,0.8846,EQUIVALENCE
5.8-2,5.1.2-6,0.8844,EQUIVALENCE
5.6-9,5.2.5-4.1,0.8838,EQUIVALENCE
5.3-6B,5.3.1-3,0.8836,EQUIVALENCE
5.6-1,5.5.1-1,0.8829,EQUIVALENCE
5.0-1,5.2.5-1,0.8827,EQUIVALENCE
5.2-3,5.1.3-2,0.8826,EQUIVALENCE
5.12-3,5.1.3-2,0.8826,EQUIVALENCE
5.3-14,5.3.1-1,0.8823,EQUIVALENCE
5.3-4B,5.1.2-6,0.8819,EQUIVALENCE
5.2-2,5.1.2-6,0.8817,EQUIVALENCE
5.3-8,5.3.1-3,0.8816,EQUIVALENCE
5.12-2,5.1.2-6,0.8815,EQUIVALENCE
5.3-6B,5.2.5-4.1,0.8815,EQUIVALENCE
5.6-9,5.4.2-4,0.8813,EQUIVALENCE
5.8-3,5.2.2-6,0.8812,EQUIVALENCE
5.8-2,5.3.1-3,0.8812,EQUIVALENCE
5.3-6B,5.2.1-4.1,0.8811,EQUIVALENCE
5.8-2,5.3.1-1,0.8809,EQUIVALENCE
5.8-2,5.1.3-2,0.8807,EQUIVALENCE
5.5-1,5.3.1-3,0.8807,EQUIVALENCE
5.4-4,5.5.1-1,0.8806,EQUIVALENCE
5.12-2,5.3.1-3,0.8805,EQUIVALENCE
5.12-3,5.3.1-3,0.8803,EQUIVALENCE
5.5-1,5.1.3-4,0.8799,EQUIVALENCE
5.12-3,5.5.1-1,0.8798,EQUIVALENCE
5.3-8,5.1.2-6,0.8798,EQUIVALENCE
5.7-1,5.1.2-6,0.8796,EQUIVALENCE
5.8-2,5.2.1-4,0.8794,EQUIVALENCE
5.12-3,5.1.2-6,0.8792,EQUIVALENCE
5.6-9,5.2.1-2,0.879,EQUIVALENCE
5.2-2,5.2.1-4.1,0.8789,EQUIVALENCE
5.0-1,5.1.2-1,0.8787,EQUIVALENCE
5.0-1,5.1.3-1.1,0.8785,EQUIVALENCE
5.1-3,5.1.2-6,0.8785,EQUIVALENCE
5.8-3,5.3.1-1,0.8784,EQUIVALENCE
5.3-14,5.2.1-4.1,0.8782,EQUIVALENCE
5.6-4A,5.5.1-1,0.8775,EQUIVALENCE
5.6-9,5.2.1-4.1,0.8772,EQUIVALENCE
5.0-1,5.2.4-2,0.8772,EQUIVALENCE
5.6-1,5.2.3-2,0.8771,EQUIVALENCE
5.7-1,5.2.2-2,0.8771,EQUIVALENCE
5.3-6B,5.4.2-4,0.8769,EQUIVALENCE
5.3-6B,5.5.1-1,0.8768,EQUIVALENCE
5.5-8,5.2.4-1,0.8768,EQUIVALENCE
5.2-3,5.2.2-1,0.8768,EQUIVALENCE
5.2-2,5.2.2-2,0.8762,EQUIVALENCE
5.5-1,5.2.1-2,0.8762,EQUIVALENCE
5.3-6B,5.1.3-4,0.8761,EQUIVALENCE
5.7-2,5.2.1-4.1,0.8761,EQUIVALENCE
5.6-2,5.5.1-1,0.876,EQUIVALENCE
5.12-2,5.2.1-2,0.876,EQUIVALENCE
5.6-2,5.3.1-1,0.8759,EQUIVALENCE
5.12-3,5.2.5-4.1,0.8759,EQUIVALENCE
5.0-1,5.2.4-1.1,0.8752,EQUIVALENCE
5.5-2,5.4.2-3,0.8752,EQUIVALENCE
5.3-14,5.2.2-3,0.875,EQUIVALENCE
5.3-4B,5.1.3-2,0.875,EQUIVALENCE
5.5-8,5.1.2-5,0.875,EQUIVALENCE
5.12-2,5.2.4-1,0.8747,EQUIVALENCE
5.5-2,5.1.3-1,0.8745,EQUIVALENCE
5.8-2,5.2.1-4.1,0.8744,EQUIVALENCE
5.0-1,5.1.2-1.1,0.8742,EQUIVALENCE
5.2-2,5.2.1-2,0.8742,EQUIVALENCE
5.6-1,5.2.1-4.1,0.8741,EQUIVALENCE
5.2-3,5.1.2-1,0.8741,EQUIVALENCE
5.3-8,5.2.2-2,0.8738,EQUIVALENCE
5.6-2,5.1.2-6,0.8737,EQUIVALENCE
5.8-1,5.1.2-5,0.8737,EQUIVALENCE
5.0-1,5.2.4-1,0.8737,EQUIVALENCE
5.12-2,5.4.2-3,0.8735,EQUIVALENCE
5.6-2,5.2.2-2,0.8733,EQUIVALENCE
5.8-3,5.2.2-3,0.8733,EQUIVALENCE
5.1-2,5.5.1-1,0.8732,EQUIVALENCE
5.5-2,5.1.2-1,0.8731,EQUIVALENCE
5.5-1,5.1.2-6,0.8731,EQUIVALENCE
5.3-14,5.2.4-2.1,0.873,EQUIVALENCE
5.2-2,5.4.2-4,0.873,EQUIVALENCE
5.3-4B,5.2.5-4.1,0.873,EQUIVALENCE
5.2-2,5.1.3-1.1,0.8729,EQUIVALENCE
5.7-2,5.3.1-3,0.8728,EQUIVALENCE
5.0-1,5.1.4-3,0.8726,EQUIVALENCE
5.3-8,5.2.1-2,0.8724,EQUIVALENCE
5.2-3,5.3.1-2,0.8723,EQUIVALENCE
5.3-6B,5.3.1-1,0.8723,EQUIVALENCE
5.1-2,5.1.2-6,0.8722,EQUIVALENCE
5.3-6B,5.2.3-2,0.8722,EQUIVALENCE
5.8-2,5.2.5-4.1,0.8721,EQUIVALENCE
5.0-1,5.2.4-3,0.872,EQUIVALENCE
5.2-2,5.1.2-4,0.872,EQUIVALENCE
5.3-4B,5.3.1-3,0.872,EQUIVALENCE
5.3-4B,5.2.1-4.1,0.8717,EQUIVALENCE
5.5-2,5.1.3-2,0.8717,EQUIVALENCE
5.2-2,5.1.3-1,0.8717,EQUIVALENCE
5.6-4A,5.3.1-3,0.8716,EQUIVALENCE
5.3-8,5.2.1-4.1,0.8714,EQUIVALENCE
5.12-3,5.3.1-2,0.8714,EQUIVALENCE
5.2-2,5.5.1-1,0.8713,EQUIVALENCE
5.2-3,5.1.1-2,0.8712,EQUIVALENCE
5.7-1,5.2.1-4.1,0.8711,EQUIVALENCE
5.5-1,5.1.3-1.1,0.8711,EQUIVALENCE
5.12-3,5.1.2-4,0.8709,EQUIVALENCE
5.3-4B,5.2.1-2,0.8708,EQUIVALENCE
5.6-1,5.3.1-1,0.8707,EQUIVALENCE
5.2-2,5.1.3-1.2,0.8707,EQUIVALENCE
5.6-4A,5.2.1-4.1,0.8706,EQUIVALENCE
5.8-3,5.1.2-6,0.8702,EQUIVALENCE
5.2-2,5.4.1-1.1,0.8701,EQUIVALENCE
5.3-14,5.1.3-2,0.8701,EQUIVALENCE
5.0-1,5.1.2-3,0.87,EQUIVALENCE
5.8-3,5.2.1-4,0.8699,EQUIVALENCE
5.4-4,5.1.2-4,0.8698,EQUIVALENCE
5.0-1,5.1.2-7,0.8697,EQUIVALENCE
5.4-3,5.2.2-2,0.8696,EQUIVALENCE
5.2-3,5.3.1-3,0.8696,EQUIVALENCE
5.3-14,5.4.2-4,0.8695,EQUIVALENCE
5.12-3,5.4.2-4,0.8694,EQUIVALENCE
5.5-2,5.1.4-1,0.8693,EQUIVALENCE
5.5-2,5.1.2-6,0.8693,EQUIVALENCE
5.0-1,5.3.1-2,0.8693,EQUIVALENCE
5.3-14,5.3.1-2,0.8693,EQUIVALENCE
5.3-6B,5.4.2-2,0.8691,EQUIVALENCE
5.2-2,5.2.4-2,0.869,EQUIVALENCE
5.2-3,5.2.1-2,0.8687,EQUIVALENCE
5.8-1,5.1.2-6,0.8686,EQUIVALENCE
5.4-4,5.3.1-3,0.8685,EQUIVALENCE
5.5-8,5.1.2-6,0.8685,EQUIVALENCE
5.8-2,5.2.4-2,0.8683,EQUIVALENCE
5.3-3,5.2.1-4.1,0.8683,EQUIVALENCE
5.2-2,5.4.2-2,0.8682,EQUIVALENCE
5.6-5,5.1.2-6,0.8681,EQUIVALENCE
5.5-2,5.3.1-2,0.868,EQUIVALENCE
5.5-2,5.2.5-2.1,0.8679,EQUIVALENCE
5.3-8,5.1.3-4,0.8679,EQUIVALENCE
5.6-9,5.1.2-6,0.8679,EQUIVALENCE
5.5-1,5.1.4-3,0.8678,EQUIVALENCE
5.8-2,5.1.2-4,0.8677,EQUIVALENCE
5.6-9,5.4.1-1.1,0.8676,EQUIVALENCE
5.13-1B,5.2.1-4.1,0.8676,EQUIVALENCE
5.4-2,5.1.2-6,0.8676,EQUIVALENCE
5.0-1,5.3.1-2.1,0.8675,EQUIVALENCE
5.4-4,5.2.1-2,0.8675,EQUIVALENCE
5.6-9,5.4.2-3,0.8675,EQUIVALENCE
5.5-5,5.5.1-1,0.8674,EQUIVALENCE
5.6-2,5.1.3-2,0.8673,EQUIVALENCE
5.12-2,5.2.2-3,0.8672,EQUIVALENCE
5.2-2,5.2.2-3,0.8671,EQUIVALENCE
5.2-1,5.1.3-2,0.867,EQUIVALENCE
5.2-2,5.4.1-2,0.867,EQUIVALENCE
5.5-1,5.2.1-4.1,0.8669,EQUIVALENCE
5.3-6B,5.4.2-3,0.8669,EQUIVALENCE
5.5-2,5.1.3-1.1,0.8668,EQUIVALENCE
5.6-9,5.2.2-3,0.8668,EQUIVALENCE
5.7-1,5.3.1-3,0.8667,EQUIVALENCE
5.2-1,5.2.4-1.1,0.8667,EQUIVALENCE
5.12-2,5.1.3-4,0.8665,EQUIVALENCE
5.8-2,5.5.1-1,0.8664,EQUIVALENCE
5.3-14,5.2.4-1.1,0.8663,EQUIVALENCE
5.8-2,5.1.3-4,0.8662,EQUIVALENCE
5.8-3,5.1.1-2,0.866,EQUIVALENCE
5.3-8,5.3.1-1,0.866,EQUIVALENCE
5.8-2,5.2.3-2,0.866,EQUIVALENCE
5.0-1,5.1.2-5,0.8658,EQUIVALENCE
5.6-4A,5.3.1-1,0.8658,EQUIVALENCE
5.2-3,5.1.2-6,0.8658,EQUIVALENCE
5.3-12,5.2.4-2.1,0.8658,EQUIVALENCE
5.12-2,5.1.2-3,0.8657,EQUIVALENCE
5.3-3,5.1.3-1.2,0.8657,EQUIVALENCE
5.13-1A,5.4.2-1,0.8656,EQUIVALENCE
5.3-12,5.1.2-6,0.8656,EQUIVALENCE
5.5-2,5.2.1-2,0.8654,EQUIVALENCE
5.3-8,5.2.4-2,0.8653,EQUIVALENCE
5.2-2,5.1.3-4,0.8653,EQUIVALENCE
5.12-2,5.1.2-1.1,0.8652,EQUIVALENCE
5.2-3,5.2.2-4,0.8652,EQUIVALENCE
5.5-1,5.1.2-1,0.8652,EQUIVALENCE
5.6-4A,5.2.5-4.1,0.8651,EQUIVALENCE
5.1-5,5.2.2-2,0.8651,EQUIVALENCE
5.3-8,5.1.3-1.1,0.8651,EQUIVALENCE
5.3-8,5.4.2-4,0.865,EQUIVALENCE
5.3-13,5.2.4-1,0.865,EQUIVALENCE
5.3-14,5.2.3-2,0.8649,EQUIVALENCE
5.13-1B,5.1.2-6,0.8649,EQUIVALENCE
5.5-2,5.1.2-4,0.8648,EQUIVALENCE
5.3-6B,5.2.4-2,0.8647,EQUIVALENCE
5.12-2,5.1.3-1.1,0.8644,EQUIVALENCE
5.3-8,5.5.1-1,0.8644,EQUIVALENCE
5.5-2,5.1.2-1.1,0.8643,EQUIVALENCE
5.12-1,5.4.2-4,0.8642,EQUIVALENCE
5.3-3,5.2.5-4.1,0.8642,EQUIVALENCE
5.3-12,5.1.3-2,0.8642,EQUIVALENCE
5.8-2,5.4.2-4,0.8642,EQUIVALENCE
5.3-3,5.1.2-6,0.8642,EQUIVALENCE
5.6-2,5.3.1-3,0.8641,EQUIVALENCE
5.8-3,5.1.2-4,0.8641,EQUIVALENCE
5.0-1,5.2.1-4,0.864,EQUIVALENCE
5.4-4,5.2.1-4.1,0.864,EQUIVALENCE
5.2-3,5.1.3-3,0.8639,EQUIVALENCE
5.3-14,5.2.5-3,0.8639,EQUIVALENCE
5.3-8,5.1.3-1.2,0.8639,EQUIVALENCE
5.8-2,5.1.2-5,0.8638,EQUIVALENCE
5.5-2,5.1.4-3,0.8638,EQUIVALENCE
5.3-3,5.3.1-1,0.8637,EQUIVALENCE
5.3-11,5.1.2-5.1,0.8635,EQUIVALENCE
5.2-3,5.1.2-4,0.8634,EQUIVALENCE
5.5-2,5.3.1-1,0.8634,EQUIVALENCE
5.12-3,5.2.4-2,0.8633,EQUIVALENCE
5.3-4B,5.4.2-4,0.8631,EQUIVALENCE
5.5-2,5.4.2-4,0.863,EQUIVALENCE
5.5-8,5.1.3-1.1,0.863,EQUIVALENCE
5.12-3,5.2.3-2,0.863,EQUIVALENCE
5.4-4,5.1.3-2,0.8629,EQUIVALENCE
5.0-1,5.2.1-4.2,0.8628,EQUIVALENCE
5.1-5,5.1.2-6,0.8628,EQUIVALENCE
5.3-14,5.2.5-1,0.8628,EQUIVALENCE
5.3-11,5.3.1-3,0.8627,EQUIVALENCE
5.6-1,5.2.2-3,0.8627,EQUIVALENCE
5.6-4A,5.2.3-2,0.8626,EQUIVALENCE
5.5-7,5.2.2-2,0.8624,EQUIVALENCE
5.2-3,5.2.4-1,0.8624,EQUIVALENCE
5.5-8,5.2.2-1,0.8623,EQUIVALENCE
5.7-2,5.2.3-2,0.8622,EQUIVALENCE
5.3-8,5.4.2-2,0.8622,EQUIVALENCE
5.6-4A,5.1.3-2,0.8621,EQUIVALENCE
5.1-2,5.2.2-2,0.862,EQUIVALENCE
5.5-8,5.1.3-1.3,0.8619,EQUIVALENCE
5.3-13,5.2.1-4.1,0.8619,EQUIVALENCE
5.7-2,5.3.1-1,0.8619,EQUIVALENCE
5.3-6B,5.3.1-2,0.8618,EQUIVALENCE
5.5-2,5.2.5-1,0.8616,EQUIVALENCE
5.6-5,5.3.1-1,0.8615,EQUIVALENCE
5.7-1,5.2.1-2,0.8612,EQUIVALENCE
5.3-16,5.3.1-1,0.8611,EQUIVALENCE
5.0-1,5.2.3-4,0.8611,EQUIVALENCE
5.5-1,5.1.3-1,0.8609,EQUIVALENCE
5.2-3,5.4.1-1,0.8609,EQUIVALENCE
5.5-8,5.1.3-3,0.8608,EQUIVALENCE
5.12-3,5.1.2-3,0.8608,EQUIVALENCE
5.5-5,5.2.3-2,0.8608,EQUIVALENCE
5.6-4A,5.2.4-2,0.8606,EQUIVALENCE
5.3-6B,5.1.2-4,0.8604,EQUIVALENCE
5.2-3,5.4.2-1,0.8604,EQUIVALENCE
5.5-1,5.2.4-2,0.8603,EQUIVALENCE
5.5-8,5.1.2-4,0.8602,EQUIVALENCE
5.5-2,5.3.1-3,0.86,EQUIVALENCE
5.6-2,5.2.1-2,0.86,EQUIVALENCE
5.5-1,5.5.1-1,0.8599,EQUIVALENCE
5.3-8,5.1.2-1,0.8598,EQUIVALENCE
5.12-2,5.2.4-2,0.8597,EQUIVALENCE
5.2-3,5.1.3-1.1,0.8596,EQUIVALENCE
5.7-2,5.1.3-2,0.8594,EQUIVALENCE
5.6-9,5.5.1-1,0.8594,EQUIVALENCE
5.5-2,5.5.1-1,0.8594,EQUIVALENCE
5.3-4B,5.4.2-3,0.8594,EQUIVALENCE
5.5-8,5.3.1-2.1,0.8594,EQUIVALENCE
5.12-3,5.2.1-2,0.8594,EQUIVALENCE
5.4-4,5.2.5-1,0.8594,EQUIVALENCE
5.5-8,5.1.2-3,0.8593,EQUIVALENCE
5.6-1,5.3.1-3,0.8592,EQUIVALENCE
5.5-2,5.2.1-4.1,0.8592,EQUIVALENCE
5.5-1,5.2.2-3,0.8592,EQUIVALENCE
5.6-4A,5.2.2-3,0.8591,EQUIVALENCE
5.4-2,5.2.1-4,0.859,EQUIVALENCE
5.0-1,5.5.1-1,0.8589,EQUIVALENCE
5.8-3,5.1.3-1.1,0.8588,EQUIVALENCE
5.2-3,5.1.2-2,0.8588,EQUIVALENCE
5.3-6B,5.2.1-2,0.8587,EQUIVALENCE
5.12-3,5.2.2-2,0.8585,EQUIVALENCE
5.6-2,5.3.1-2,0.8585,EQUIVALENCE
5.2-1,5.1.2-5,0.8584,EQUIVALENCE
5.12-3,5.2.4-3,0.8584,EQUIVALENCE
5.5-1,5.4.2-3,0.8584,EQUIVALENCE
5.6-1,5.2.5-4.1,0.8583,EQUIVALENCE
5.13-1A,5.1.2-6,0.8582,EQUIVALENCE
5.4-4,5.1.2-3,0.8581,EQUIVALENCE
5.3-2,5.1.2-6,0.8581,EQUIVALENCE
5.3-8,5.3.1-2,0.858,EQUIVALENCE
5.6-2,5.2.1-4.1,0.858,EQUIVALENCE
5.12-2,5.2.2-2,0.8579,EQUIVALENCE
5.12-2,5.1.2-4,0.8579,EQUIVALENCE
5.3-14,5.3.1-3,0.8578,EQUIVALENCE
5.3-3,5.2.3-2,0.8578,EQUIVALENCE
5.6-9,5.2.2-6,0.8578,EQUIVALENCE
5.4-4,5.4.2-4,0.8577,EQUIVALENCE
5.6-2,5.2.1-4,0.8577,EQUIVALENCE
5.5-2,5.1.3-1.2,0.8577,EQUIVALENCE
5.2-1,5.2.4-1,0.8576,EQUIVALENCE
5.2-1,5.3.1-2.1,0.8576,EQUIVALENCE
5.6-2,5.2.5-4.1,0.8575,EQUIVALENCE
5.3-4B,5.4.1-1.1,0.8575,EQUIVALENCE
5.12-1,5.2.4-1,0.8574,EQUIVALENCE
5.5-8,5.2.3-1,0.8572,EQUIVALENCE
5.3-6B,5.4.1-1,0.8572,EQUIVALENCE
5.3-13,5.3.1-2,0.8571,EQUIVALENCE
5.8-3,5.2.1-2,0.8571,EQUIVALENCE
5.13-1B,5.5.1-1,0.8571,EQUIVALENCE
5.3-3,5.5.1-1,0.857,EQUIVALENCE
5.6-1,5.1.3-2,0.857,EQUIVALENCE
5.7-2,5.2.5-4.1,0.857,EQUIVALENCE
5.4-4,5.2.2-3,0.8569,EQUIVALENCE
5.7-2,5.4.2-2,0.8568,EQUIVALENCE
5.3-14,5.5.1-1,0.8567,EQUIVALENCE
5.3-14,5.2.5-4.1,0.8567,EQUIVALENCE
5.3-11,5.4.2-4,0.8567,EQUIVALENCE
5.5-2,5.2.3-2.1,0.8566,EQUIVALENCE
5.8-2,5.2.1-2,0.8566,EQUIVALENCE
5.7-1,5.2.2-3,0.8566,EQUIVALENCE
5.3-3,5.2.4-2,0.8565,EQUIVALENCE
5.5-1,5.1.3-1.2,0.8565,EQUIVALENCE
5.4-4,5.4.2-1,0.8565,EQUIVALENCE
5.8-3,5.1.4-3,0.8564,EQUIVALENCE
5.6-9,5.3.1-2,0.8563,EQUIVALENCE
5.7-2,5.4.2-4,0.8563,EQUIVALENCE
5.4-4,5.1.3-1.1,0.8559,EQUIVALENCE
5.2-1,5.1.2-4,0.8558,EQUIVALENCE
5.2-1,5.3.1-3,0.8558,EQUIVALENCE
5.4-4,5.2.4-1.2,0.8558,EQUIVALENCE
5.3-13,5.2.3-2,0.8557,EQUIVALENCE
5.5-1,5.1.2-4,0.8555,EQUIVALENCE
5.3-4B,5.2.4-2,0.8553,EQUIVALENCE
5.0-1,5.2.4-2.1,0.8553,EQUIVALENCE
5.2-3,5.4.1-1.1,0.8551,EQUIVALENCE
5.2-3,5.3.1-1,0.855,EQUIVALENCE
5.5-8,5.2.5-1,0.8549,EQUIVALENCE
5.7-1,5.2.5-4.1,0.8549,EQUIVALENCE
5.3-11,5.1.1-2,0.8549,EQUIVALENCE
5.8-2,5.1.2-1,0.8549,EQUIVALENCE
5.3-14,5.1.2-3,0.8548,EQUIVALENCE
5.12-3,5.2.2-6,0.8548,EQUIVALENCE
5.6-5,5.2.3-2,0.8548,EQUIVALENCE
5.8-3,5.3.1-2,0.8548,EQUIVALENCE
5.6-5,5.3.1-2,0.8547,EQUIVALENCE
5.12-3,5.2.5-1,0.8547,EQUIVALENCE
5.6-4A,5.3.1-2,0.8547,EQUIVALENCE
5.12-2,5.2.3-2,0.8546,EQUIVALENCE
5.4-4,5.3.1-2,0.8546,EQUIVALENCE
5.5-2,5.2.5-4,0.8545,EQUIVALENCE
5.6-9,5.1.2-4,0.8545,EQUIVALENCE
5.5-1,5.2.2-2,0.8544,EQUIVALENCE
5.6-9,5.2.2-2,0.8544,EQUIVALENCE
5.1-2,5.2.1-2,0.8544,EQUIVALENCE
5.2-2,5.3.1-1,0.8544,EQUIVALENCE
5.3-11,5.2.5-1,0.8543,EQUIVALENCE
5.12-2,5.2.4-1.1,0.8542,EQUIVALENCE
5.2-2,5.3.1-2,0.8542,EQUIVALENCE
5.1-3,5.1.2-4,0.8541,EQUIVALENCE
5.7-1,5.1.2-4,0.8541,EQUIVALENCE
5.12-2,5.2.5-1,0.8541,EQUIVALENCE
5.8-3,5.2.4-2,0.8541,EQUIVALENCE
5.7-2,5.2.4-3,0.8541,EQUIVALENCE
5.2-3,5.2.3-2.1,0.8541,EQUIVALENCE
5.5-1,5.3.1-2,0.854,EQUIVALENCE
5.12-3,5.1.3-4,0.854,EQUIVALENCE
5.3-6B,5.2.4-3,0.854,EQUIVALENCE
5.3-4B,5.3.1-1,0.854,EQUIVALENCE
5.6-1,5.3.1-2,0.8539,EQUIVALENCE
5.12-2,5.2.4-2.1,0.8539,EQUIVALENCE
5.4-3,5.5.1-1,0.8539,EQUIVALENCE
5.7-2,5.2.4-2,0.8538,EQUIVALENCE
5.6-9,5.1.3-2,0.8537,EQUIVALENCE
5.2-2,5.1.2-3,0.8537,EQUIVALENCE
5.12-3,5.2.2-3,0.8536,EQUIVALENCE
5.3-4B,5.1.3-1,0.8536,EQUIVALENCE
5.12-1,5.2.5-3,0.8535,EQUIVALENCE
5.3-12,5.3.1-1,0.8535,EQUIVALENCE
5.3-11,5.2.5-3,0.8534,EQUIVALENCE
5.8-3,5.5.1-1,0.8534,EQUIVALENCE
5.6-9,5.1.3-1,0.8532,EQUIVALENCE
5.3-11,5.2.4-1,0.8531,EQUIVALENCE
5.3-4B,5.1.3-1.1,0.8531,EQUIVALENCE
5.7-1,5.4.2-2,0.8531,EQUIVALENCE
5.2-3,5.1.2-5.1,0.8531,EQUIVALENCE
5.3-13,5.2.5-1,0.853,EQUIVALENCE
5.5-5,5.2.1-4.1,0.853,EQUIVALENCE
5.3-6B,5.2.5-4,0.853,EQUIVALENCE
5.4-4,5.2.4-1,0.8529,EQUIVALENCE
5.3-6B,5.1.3-1,0.8528,EQUIVALENCE
5.5-8,5.1.3-2,0.8528,EQUIVALENCE
5.3-8,5.4.1-1.1,0.8528,EQUIVALENCE
5.3-11,5.1.3-1.1,0.8526,EQUIVALENCE
5.3-4B,5.1.3-1.2,0.8525,EQUIVALENCE
5.8-2,5.2.4-1.1,0.8525,EQUIVALENCE
5.3-14,5.1.2-1.1,0.8523,EQUIVALENCE
5.8-3,5.1.2-1.1,0.8522,EQUIVALENCE
5.12-1,5.3.1-2.1,0.8522,EQUIVALENCE
5.12-3,5.1.2-1.1,0.8522,EQUIVALENCE
5.6-9,5.1.3-4,0.8522,EQUIVALENCE
5.3-11,5.4.1-1,0.852,EQUIVALENCE
5.1-1,5.1.2-6,0.852,EQUIVALENCE
5.8-3,5.2.4-3,0.852,EQUIVALENCE
5.6-3,5.5.1-1,0.852,EQUIVALENCE
5.5-2,5.2.2-1,0.852,EQUIVALENCE
5.3-10,5.2.1-1,0.8519,EQUIVALENCE
5.12-2,5.2.5-4,0.8517,EQUIVALENCE
5.6-3,5.1.3-1.2,0.8517,EQUIVALENCE
5.8-3,5.2.3-2.1,0.8517,EQUIVALENCE
5.8-2,5.1.4-3,0.8517,EQUIVALENCE
5.3-8,5.2.3-2,0.8516,EQUIVALENCE
5.5-2,5.2.2-2,0.8516,EQUIVALENCE
5.2-2,5.4.1-1,0.8516,EQUIVALENCE
5.3-14,5.3.1-2.2,0.8516,EQUIVALENCE
5.2-3,5.2.1-1,0.8516,EQUIVALENCE
5.2-1,5.1.2-6,0.8516,EQUIVALENCE
5.4-2,5.3.1-1,0.8516,EQUIVALENCE
5.0-1,5.1.1-2,0.8515,EQUIVALENCE
5.8-3,5.2.3-2,0.8514,EQUIVALENCE
5.5-2,5.4.1-2,0.8514,EQUIVALENCE
5.3-8,5.1.4-3,0.8514,EQUIVALENCE
5.6-4A,5.2.1-2,0.8514,EQUIVALENCE
5.7-1,5.4.2-4,0.8513,EQUIVALENCE
5.6-5,5.3.1-2.1,0.8511,EQUIVALENCE
