src_id,tgt_id,nli_score,p_src_entails_tgt,p_tgt_entails_src,predicted_rel
5.3-9,5.1.3-3,0.9856,0.0038,0.9856,SUBSUMPTION_A_BROADER
5.3-9,5.1.4-4,0.9852,0.001,0.9852,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-3.1,0.985,0.0031,0.985,SUBSUMPTION_A_BROADER
5.3-9,5.2.4-1.1,0.9849,0.0044,0.9849,SUBSUMPTION_A_BROADER
5.3-9,5.2.1-4,0.9848,0.4188,0.9848,SUBSUMPTION_A_BROADER
5.3-9,5.1.1-2,0.9847,0.0003,0.9847,SUBSUMPTION_A_BROADER
5.3-9,5.2.5-3,0.984,0.0002,0.984,SUBSUMPTION_A_BROADER
5.3-9,5.1.2-5,0.9837,0.9471,0.9837,EQUIVALENCE
5.3-9,5.1.2-2,0.9834,0.0014,0.9834,SUBSUMPTION_A_BROADER
5.3-9,5.1.3-1,0.9831,0.1342,0.9831,SUBSUMPTION_A_BROADER
5.3-9,5.1.3-4,0.9818,0.0002,0.9818,SUBSUMPTION_A_BROADER
5.3-13,5.2.3-2.2,0.9817,0.9817,0.0012,SUBSUMPTION_B_BROADER
5.3-9,5.2.4-2,0.9814,0.0017,0.9814,SUBSUMPTION_A_BROADER
5.3-9,5.2.4-1,0.9814,0.0023,0.9814,SUBSUMPTION_A_BROADER
5.3-9,5.2.5-1,0.9805,0.0024,0.9805,SUBSUMPTION_A_BROADER
5.3-4A,5.2.2-2,0.9778,0.0005,0.9778,SUBSUMPTION_A_BROADER
5.3-9,5.2.4-2.1,0.9766,0.0003,0.9766,SUBSUMPTION_A_BROADER
5.3-9,5.3.1-2,0.9751,0.0007,0.9751,SUBSUMPTION_A_BROADER
5.3-9,5.5.1-1,0.9748,0.0041,0.9748,SUBSUMPTION_A_BROADER
5.3-9,5.3.1-1,0.9718,0.0011,0.9718,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-4,0.9708,0.0288,0.9708,SUBSUMPTION_A_BROADER
5.3-9,5.1.3-2,0.9683,0.0003,0.9683,SUBSUMPTION_A_BROADER
5.7-1,5.1.4-2,0.9659,0.0018,0.9659,SUBSUMPTION_A_BROADER
5.8-2,5.5.1-1,0.9632,0.9632,0.0005,SUBSUMPTION_B_BROADER
5.7-1,5.1.2-1.1,0.9486,0.2994,0.9486,SUBSUMPTION_A_BROADER
5.7-1,5.2.4-1.1,0.9443,0.8214,0.9443,EQUIVALENCE
5.7-1,5.2.3-2.2,0.9437,0.0004,0.9437,SUBSUMPTION_A_BROADER
5.3-14,5.2.3-2.2,0.9389,0.9389,0.0011,SUBSUMPTION_B_BROADER
5.7-1,5.4.2-2,0.9341,0.0039,0.9341,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-6,0.934,0.7779,0.934,EQUIVALENCE
5.7-1,5.1.2-1,0.9292,0.1256,0.9292,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-5,0.9287,0.0169,0.9287,SUBSUMPTION_A_BROADER
5.7-1,5.1.3-1.1,0.9279,0.0023,0.9279,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-2,0.9254,0.1281,0.9254,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-4.2,0.9235,0.0007,0.9235,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-4.1,0.9168,0.0001,0.9168,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-5.1,0.913,0.0031,0.913,SUBSUMPTION_A_BROADER
5.7-1,5.1.1-1.1,0.9128,0.2204,0.9128,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-3,0.9098,0.0004,0.9098,SUBSUMPTION_A_BROADER
5.7-1,5.4.2-3,0.9029,0.0071,0.9029,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-1,0.8951,0.4162,0.8951,SUBSUMPTION_A_BROADER
5.7-1,5.4.2-1,0.8911,0.0047,0.8911,SUBSUMPTION_A_BROADER
5.7-1,5.2.2-5,0.8819,0.0041,0.8819,SUBSUMPTION_A_BROADER
5.7-1,5.1.3-1.3,0.8789,0.0135,0.8789,SUBSUMPTION_A_BROADER
5.7-1,5.4.1-1.1,0.8779,0.0018,0.8779,SUBSUMPTION_A_BROADER
5.7-1,5.2.4-1.2,0.8746,0.0006,0.8746,SUBSUMPTION_A_BROADER
5.7-1,5.2.2-6,0.8739,0.008,0.8739,SUBSUMPTION_A_BROADER
5.7-1,5.5.1-2,0.8736,0.7005,0.8736,EQUIVALENCE
5.7-1,5.4.1-2,0.868,0.0122,0.868,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-3.1,0.8641,0.0029,0.8641,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-2.1,0.8594,0.0072,0.8594,SUBSUMPTION_A_BROADER
5.7-1,5.1.4-4,0.8502,0.002,0.8502,SUBSUMPTION_A_BROADER
5.7-1,5.1.1-2.2,0.8487,0.0039,0.8487,SUBSUMPTION_A_BROADER
5.7-1,5.1.4-1,0.8452,0.1156,0.8452,SUBSUMPTION_A_BROADER
5.7-1,5.2.3-1,0.845,0.0035,0.845,SUBSUMPTION_A_BROADER
5.1-2,5.5.1-1,0.8364,0.8364,0.0007,SUBSUMPTION_B_BROADER
5.7-1,5.2.2-4,0.8289,0.0003,0.8289,SUBSUMPTION_A_BROADER
5.7-1,5.2.3-4,0.8257,0.0575,0.8257,SUBSUMPTION_A_BROADER
5.7-1,5.2.2-1,0.8244,0.0026,0.8244,SUBSUMPTION_A_BROADER
5.7-1,5.1.4-5,0.8141,0.0006,0.8141,SUBSUMPTION_A_BROADER
5.7-1,5.2.3-2,0.7963,0.031,0.7963,SUBSUMPTION_A_BROADER
5.7-1,5.1.3-3,0.7823,0.0021,0.7823,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-2,0.7771,0.0014,0.7771,SUBSUMPTION_A_BROADER
5.7-1,5.4.1-3,0.7723,0.0613,0.7723,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-2,0.7423,0.0011,0.7423,SUBSUMPTION_A_BROADER
5.7-1,5.1.3-1.2,0.7379,0.5062,0.7379,EQUIVALENCE
5.7-1,5.3.1-2.2,0.7336,0.0012,0.7336,SUBSUMPTION_A_BROADER
5.6-7,5.1.2-6,0.7182,0.0033,0.7182,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-4,0.652,0.0315,0.652,SUBSUMPTION_A_BROADER
5.7-1,5.2.5-1,0.642,0.0017,0.642,SUBSUMPTION_A_BROADER
5.7-1,5.2.3-3,0.6334,0.0004,0.6334,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-3,0.6327,0.0009,0.6327,SUBSUMPTION_A_BROADER
5.7-1,5.1.2-7,0.6264,0.0436,0.6264,SUBSUMPTION_A_BROADER
5.7-1,5.1.1-1,0.6157,0.0009,0.6157,SUBSUMPTION_A_BROADER
5.7-1,5.1.4-3,0.6021,0.0141,0.6021,SUBSUMPTION_A_BROADER
5.7-1,5.4.2-4,0.5977,0.0007,0.5977,SUBSUMPTION_A_BROADER
5.7-1,5.2.1-4,0.5795,0.3697,0.5795,SUBSUMPTION_A_BROADER
5.5-2,5.3.1-2,0.5293,0.0001,0.5293,SUBSUMPTION_A_BROADER
5.7-1,5.2.3-2.1,0.4845,0.0003,0.4845,OVERLAP
5.0-1,5.2.3-2.1,0.4746,0.4746,0.0002,OVERLAP
5.7-1,5.3.1-2.1,0.4418,0.0003,0.4418,OVERLAP
5.1-5,5.5.1-1,0.4163,0.4163,0.0009,OVERLAP
5.13-1A,5.4.2-2,0.4071,0.0004,0.4071,OVERLAP
5.3-2,5.1.1-1.1,0.3956,0.0001,0.3956,OVERLAP
5.4-2,5.5.1-1,0.3381,0.3381,0.0008,OVERLAP
5.6-7,5.1.3-1.2,0.3243,0.002,0.3243,OVERLAP
5.13-1A,5.2.5-4.1,0.3018,0.0003,0.3018,OVERLAP
5.4-4,5.1.2-5,0.2315,0.2315,0.0003,OVERLAP
5.3-11,5.3.1-2.2,0.2164,0.2164,0.0077,OVERLAP
