src_id,tgt_id,predicted_rel
5.0-1,5.2.3-2,NO_RELATION
5.0-1,5.2.3-2.1,NO_RELATION
5.0-1,5.2.3-2.2,NO_RELATION
5.0-1,5.2.3-3,NO_RELATION
5.0-1,5.2.3-4,COMPLEMENTARITY
5.0-1,5.2.4-1,COMPLEMENTARITY
5.0-1,5.2.4-1.1,NO_RELATION
5.0-1,5.2.4-1.2,COMPLEMENTARITY
5.0-1,5.2.4-2,COMPLEMENTARITY
5.0-1,5.2.4-2.1,COMPLEMENTARITY
5.0-1,5.2.4-3,COMPLEMENTARITY
5.0-1,5.2.5-1,NO_RELATION
5.0-1,5.2.5-2,COMPLEMENTARITY
5.0-1,5.2.5-2.1,COMPLEMENTARITY
5.0-1,5.2.5-3,COMPLEMENTARITY
5.0-1,5.2.5-4,COMPLEMENTARITY
5.0-1,5.2.5-4.1,COMPLEMENTARITY
5.0-1,5.3.1-1,COMPLEMENTARITY
5.0-1,5.3.1-2,COMPLEMENTARITY
5.0-1,5.3.1-2.1,NO_RELATION
5.0-1,5.3.1-2.2,COMPLEMENTARITY
5.0-1,5.3.1-3,NO_RELATION
5.0-1,5.4.1-1,COMPLEMENTARITY
5.0-1,5.4.1-1.1,COMPLEMENTARITY
5.0-1,5.4.1-2,COMPLEMENTARITY
5.0-1,5.4.1-3,NO_RELATION
5.0-1,5.4.2-1,COMPLEMENTARITY
5.0-1,5.4.2-2,OVERLAP
5.0-1,5.4.2-3,COMPLEMENTARITY
5.0-1,5.4.2-4,COMPLEMENTARITY
5.0-1,5.5.1-1,COMPLEMENTARITY
5.0-1,5.5.1-2,COMPLEMENTARITY
5.1-1,5.1.1-1,COMPLEMENTARITY
5.1-1,5.1.1-1.1,COMPLEMENTARITY
5.1-1,5.1.1-2,COMPLEMENTARITY
5.1-1,5.1.1-2.1,COMPLEMENTARITY
5.1-1,5.1.1-2.2,COMPLEMENTARITY
5.1-1,5.1.2-1,COMPLEMENTARITY
5.1-1,5.1.2-1.1,COMPLEMENTARITY
5.1-1,5.1.2-2,COMPLEMENTARITY
5.1-1,5.1.2-3,COMPLEMENTARITY
5.1-1,5.1.2-4,COMPLEMENTARITY
5.1-1,5.1.2-5,COMPLEMENTARITY
5.1-1,5.1.2-5.1,COMPLEMENTARITY
5.1-1,5.1.2-6,COMPLEMENTARITY
5.1-1,5.1.2-7,COMPLEMENTARITY
5.1-1,5.1.3-1,COMPLEMENTARITY
5.1-1,5.1.3-1.1,COMPLEMENTARITY
5.1-1,5.1.3-1.2,COMPLEMENTARITY
5.1-1,5.1.3-1.3,COMPLEMENTARITY
5.1-1,5.1.3-2,OVERLAP
5.1-1,5.1.3-3,COMPLEMENTARITY
5.1-1,5.1.3-4,OVERLAP
5.1-1,5.1.4-1,COMPLEMENTARITY
5.1-1,5.1.4-2,COMPLEMENTARITY
5.1-1,5.1.4-3,COMPLEMENTARITY
5.1-1,5.1.4-4,OVERLAP
5.1-1,5.1.4-5,COMPLEMENTARITY
5.1-1,5.2.1-1,COMPLEMENTARITY
5.1-1,5.2.1-2,COMPLEMENTARITY
5.1-1,5.2.1-3,COMPLEMENTARITY
5.1-1,5.2.1-3.1,COMPLEMENTARITY
5.1-1,5.2.1-4,COMPLEMENTARITY
5.1-1,5.2.1-4.1,OVERLAP
5.1-1,5.2.1-4.2,COMPLEMENTARITY
5.1-1,5.2.2-1,COMPLEMENTARITY
5.1-1,5.2.2-2,COMPLEMENTARITY
5.1-1,5.2.2-3,COMPLEMENTARITY
5.1-1,5.2.2-4,COMPLEMENTARITY
5.1-1,5.2.2-5,COMPLEMENTARITY
5.1-1,5.2.2-6,COMPLEMENTARITY
5.1-1,5.2.3-1,COMPLEMENTARITY
5.1-1,5.2.3-2,COMPLEMENTARITY
5.1-1,5.2.3-2.1,COMPLEMENTARITY
5.1-1,5.2.3-2.2,COMPLEMENTARITY
5.1-1,5.2.3-3,COMPLEMENTARITY
5.1-1,5.2.3-4,COMPLEMENTARITY
5.1-1,5.2.4-1,COMPLEMENTARITY
5.1-1,5.2.4-1.1,COMPLEMENTARITY
5.1-1,5.2.4-1.2,COMPLEMENTARITY
5.1-1,5.2.4-2,COMPLEMENTARITY
5.1-1,5.2.4-2.1,COMPLEMENTARITY
5.1-1,5.2.4-3,COMPLEMENTARITY
5.1-1,5.2.5-1,COMPLEMENTARITY
5.1-1,5.2.5-2,COMPLEMENTARITY
5.1-1,5.2.5-2.1,COMPLEMENTARITY
5.1-1,5.2.5-3,COMPLEMENTARITY
5.1-1,5.2.5-4,COMPLEMENTARITY
5.1-1,5.2.5-4.1,COMPLEMENTARITY
5.1-1,5.3.1-1,NO_RELATION
5.1-1,5.3.1-2,COMPLEMENTARITY
5.1-1,5.3.1-2.1,COMPLEMENTARITY
5.1-1,5.3.1-2.2,COMPLEMENTARITY
5.1-1,5.3.1-3,COMPLEMENTARITY
5.1-1,5.4.1-1,NO_RELATION
5.1-1,5.4.1-1.1,COMPLEMENTARITY
5.1-1,5.4.1-2,COMPLEMENTARITY
5.1-1,5.4.1-3,COMPLEMENTARITY
5.1-1,5.4.2-1,COMPLEMENTARITY
5.1-1,5.4.2-2,COMPLEMENTARITY
5.1-1,5.4.2-3,COMPLEMENTARITY
5.1-1,5.4.2-4,COMPLEMENTARITY
5.1-1,5.5.1-1,COMPLEMENTARITY
5.1-1,5.5.1-2,COMPLEMENTARITY
5.1-2,5.1.1-1,COMPLEMENTARITY
5.1-2,5.1.1-1.1,COMPLEMENTARITY
5.1-2,5.1.1-2,COMPLEMENTARITY
5.1-2,5.1.1-2.1,COMPLEMENTARITY
5.1-2,5.1.1-2.2,COMPLEMENTARITY
5.1-2,5.1.2-1,COMPLEMENTARITY
5.1-2,5.1.2-1.1,COMPLEMENTARITY
5.1-2,5.1.2-2,COMPLEMENTARITY
5.1-2,5.1.2-3,COMPLEMENTARITY
5.1-2,5.1.2-4,COMPLEMENTARITY
5.1-2,5.1.2-5,COMPLEMENTARITY
5.1-2,5.1.2-5.1,OVERLAP
5.1-2,5.1.2-6,NO_RELATION
5.1-2,5.1.2-7,COMPLEMENTARITY
5.1-2,5.1.3-1,COMPLEMENTARITY
5.1-2,5.1.3-1.1,COMPLEMENTARITY
5.1-2,5.1.3-1.2,COMPLEMENTARITY
5.1-2,5.1.3-1.3,OVERLAP
5.1-2,5.1.3-2,OVERLAP
5.1-2,5.1.3-3,COMPLEMENTARITY
5.1-2,5.1.3-4,COMPLEMENTARITY
5.1-2,5.1.4-1,COMPLEMENTARITY
5.1-2,5.1.4-2,COMPLEMENTARITY
5.1-2,5.1.4-3,COMPLEMENTARITY
5.1-2,5.1.4-4,COMPLEMENTARITY
5.1-2,5.1.4-5,COMPLEMENTARITY
5.1-2,5.2.1-1,COMPLEMENTARITY
5.1-2,5.2.1-2,COMPLEMENTARITY
5.1-2,5.2.1-3,COMPLEMENTARITY
5.1-2,5.2.1-3.1,COMPLEMENTARITY
5.1-2,5.2.1-4,COMPLEMENTARITY
5.1-2,5.2.1-4.1,COMPLEMENTARITY
5.1-2,5.2.1-4.2,COMPLEMENTARITY
5.1-2,5.2.2-1,COMPLEMENTARITY
5.1-2,5.2.2-2,COMPLEMENTARITY
5.1-2,5.2.2-3,COMPLEMENTARITY
5.1-2,5.2.2-4,NO_RELATION
5.1-2,5.2.2-5,NO_RELATION
5.1-2,5.2.2-6,COMPLEMENTARITY
5.1-2,5.2.3-1,COMPLEMENTARITY
5.1-2,5.2.3-2,COMPLEMENTARITY
5.1-2,5.2.3-2.1,NO_RELATION
5.1-2,5.2.3-2.2,COMPLEMENTARITY
5.1-2,5.2.3-3,COMPLEMENTARITY
5.1-2,5.2.3-4,COMPLEMENTARITY
5.1-2,5.2.4-1,COMPLEMENTARITY
5.1-2,5.2.4-1.1,COMPLEMENTARITY
5.1-2,5.2.4-1.2,COMPLEMENTARITY
5.1-2,5.2.4-2,OVERLAP
5.1-2,5.2.4-2.1,COMPLEMENTARITY
5.1-2,5.2.4-3,OVERLAP
5.1-2,5.2.5-1,COMPLEMENTARITY
5.1-2,5.2.5-2,COMPLEMENTARITY
5.1-2,5.2.5-2.1,COMPLEMENTARITY
5.1-2,5.2.5-3,COMPLEMENTARITY
5.1-2,5.2.5-4,COMPLEMENTARITY
5.1-2,5.2.5-4.1,NO_RELATION
5.1-2,5.3.1-1,NO_RELATION
5.1-2,5.3.1-2,COMPLEMENTARITY
5.1-2,5.3.1-2.1,NO_RELATION
5.1-2,5.3.1-2.2,COMPLEMENTARITY
5.1-2,5.3.1-3,COMPLEMENTARITY
5.1-2,5.4.1-1,NO_RELATION
5.1-2,5.4.1-1.1,NO_RELATION
5.1-2,5.4.1-2,NO_RELATION
5.1-2,5.4.1-3,NO_RELATION
5.1-2,5.4.2-1,NO_RELATION
5.1-2,5.4.2-2,NO_RELATION
5.1-2,5.4.2-3,NO_RELATION
5.1-2,5.4.2-4,NO_RELATION
5.1-2,5.5.1-1,COMPLEMENTARITY
5.1-2,5.5.1-2,COMPLEMENTARITY
5.1-2A,5.1.1-1,NO_RELATION
5.1-2A,5.1.1-1.1,NO_RELATION
5.1-2A,5.1.1-2,NO_RELATION
5.1-2A,5.1.1-2.1,COMPLEMENTARITY
5.1-2A,5.1.1-2.2,COMPLEMENTARITY
5.1-2A,5.1.2-1,COMPLEMENTARITY
5.1-2A,5.1.2-1.1,COMPLEMENTARITY
5.1-2A,5.1.2-2,COMPLEMENTARITY
5.1-2A,5.1.2-3,NO_RELATION
5.1-2A,5.1.2-4,COMPLEMENTARITY
5.1-2A,5.1.2-5,COMPLEMENTARITY
5.1-2A,5.1.2-5.1,COMPLEMENTARITY
5.1-2A,5.1.2-6,NO_RELATION
5.1-2A,5.1.2-7,COMPLEMENTARITY
5.1-2A,5.1.3-1,NO_RELATION
5.1-2A,5.1.3-1.1,COMPLEMENTARITY
5.1-2A,5.1.3-1.2,COMPLEMENTARITY
5.1-2A,5.1.3-1.3,NO_RELATION
5.1-2A,5.1.3-2,NO_RELATION
5.1-2A,5.1.3-3,NO_RELATION
5.1-2A,5.1.3-4,NO_RELATION
5.1-2A,5.1.4-1,NO_RELATION
5.1-2A,5.1.4-2,NO_RELATION
5.1-2A,5.1.4-3,NO_RELATION
5.1-2A,5.1.4-4,COMPLEMENTARITY
5.1-2A,5.1.4-5,COMPLEMENTARITY
5.1-2A,5.2.1-1,NO_RELATION
5.1-2A,5.2.1-2,OVERLAP
5.1-2A,5.2.1-3,COMPLEMENTARITY
5.1-2A,5.2.1-3.1,COMPLEMENTARITY
5.1-2A,5.2.1-4,COMPLEMENTARITY
5.1-2A,5.2.1-4.1,NO_RELATION
5.1-2A,5.2.1-4.2,COMPLEMENTARITY
5.1-2A,5.2.2-1,COMPLEMENTARITY
5.1-2A,5.2.2-2,COMPLEMENTARITY
5.1-2A,5.2.2-3,COMPLEMENTARITY
5.1-2A,5.2.2-4,COMPLEMENTARITY
5.1-2A,5.2.2-5,COMPLEMENTARITY
5.1-2A,5.2.2-6,COMPLEMENTARITY
5.1-2A,5.2.3-1,NO_RELATION
5.1-2A,5.2.3-2,COMPLEMENTARITY
5.1-2A,5.2.3-2.1,COMPLEMENTARITY
5.1-2A,5.2.3-2.2,NO_RELATION
5.1-2A,5.2.3-3,COMPLEMENTARITY
5.1-2A,5.2.3-4,COMPLEMENTARITY
5.1-2A,5.2.4-1,COMPLEMENTARITY
5.1-2A,5.2.4-1.1,COMPLEMENTARITY
5.1-2A,5.2.4-1.2,OVERLAP
5.1-2A,5.2.4-2,NO_RELATION
5.1-2A,5.2.4-2.1,COMPLEMENTARITY
5.1-2A,5.2.4-3,COMPLEMENTARITY
5.1-2A,5.2.5-1,COMPLEMENTARITY
5.1-2A,5.2.5-2,NO_RELATION
5.1-2A,5.2.5-2.1,NO_RELATION
5.1-2A,5.2.5-3,COMPLEMENTARITY
5.1-2A,5.2.5-4,COMPLEMENTARITY
5.1-2A,5.2.5-4.1,COMPLEMENTARITY
5.1-2A,5.3.1-1,NO_RELATION
5.1-2A,5.3.1-2,COMPLEMENTARITY
5.1-2A,5.3.1-2.1,COMPLEMENTARITY
5.1-2A,5.3.1-2.2,COMPLEMENTARITY
5.1-2A,5.3.1-3,COMPLEMENTARITY
5.1-2A,5.4.1-1,COMPLEMENTARITY
5.1-2A,5.4.1-1.1,COMPLEMENTARITY
5.1-2A,5.4.1-2,COMPLEMENTARITY
5.1-2A,5.4.1-3,COMPLEMENTARITY
5.1-2A,5.4.2-1,OVERLAP
5.1-2A,5.4.2-2,COMPLEMENTARITY
5.1-2A,5.4.2-3,COMPLEMENTARITY
5.1-2A,5.4.2-4,COMPLEMENTARITY
5.1-2A,5.5.1-1,COMPLEMENTARITY
5.1-2A,5.5.1-2,COMPLEMENTARITY
5.1-3,5.1.1-1,COMPLEMENTARITY
5.1-3,5.1.1-1.1,COMPLEMENTARITY
5.1-3,5.1.1-2,NO_RELATION
5.1-3,5.1.1-2.1,COMPLEMENTARITY
5.1-3,5.1.1-2.2,NO_RELATION
5.1-3,5.1.2-1,NO_RELATION
5.1-3,5.1.2-1.1,NO_RELATION
5.1-3,5.1.2-2,COMPLEMENTARITY
5.1-3,5.1.2-3,COMPLEMENTARITY
5.1-3,5.1.2-4,COMPLEMENTARITY
5.1-3,5.1.2-5,NO_RELATION
5.1-3,5.1.2-5.1,COMPLEMENTARITY
5.1-3,5.1.2-6,COMPLEMENTARITY
5.1-3,5.1.2-7,COMPLEMENTARITY
5.1-3,5.1.3-1,COMPLEMENTARITY
5.1-3,5.1.3-1.1,COMPLEMENTARITY
5.1-3,5.1.3-1.2,COMPLEMENTARITY
5.1-3,5.1.3-1.3,COMPLEMENTARITY
5.1-3,5.1.3-2,COMPLEMENTARITY
5.1-3,5.1.3-3,COMPLEMENTARITY
5.1-3,5.1.3-4,NO_RELATION
5.1-3,5.1.4-1,NO_RELATION
5.1-3,5.1.4-2,NO_RELATION
5.1-3,5.1.4-3,NO_RELATION
5.1-3,5.1.4-4,COMPLEMENTARITY
5.1-3,5.1.4-5,COMPLEMENTARITY
5.1-3,5.2.1-1,NO_RELATION
5.1-3,5.2.1-2,COMPLEMENTARITY
5.1-3,5.2.1-3,COMPLEMENTARITY
5.1-3,5.2.1-3.1,COMPLEMENTARITY
5.1-3,5.2.1-4,COMPLEMENTARITY
5.1-3,5.2.1-4.1,NO_RELATION
5.1-3,5.2.1-4.2,COMPLEMENTARITY
5.1-3,5.2.2-1,COMPLEMENTARITY
5.1-3,5.2.2-2,COMPLEMENTARITY
5.1-3,5.2.2-3,COMPLEMENTARITY
5.1-3,5.2.2-4,COMPLEMENTARITY
5.1-3,5.2.2-5,COMPLEMENTARITY
5.1-3,5.2.2-6,NO_RELATION
5.1-3,5.2.3-1,COMPLEMENTARITY
5.1-3,5.2.3-2,COMPLEMENTARITY
5.1-3,5.2.3-2.1,NO_RELATION
5.1-3,5.2.3-2.2,COMPLEMENTARITY
5.1-3,5.2.3-3,COMPLEMENTARITY
5.1-3,5.2.3-4,COMPLEMENTARITY
5.1-3,5.2.4-1,COMPLEMENTARITY
5.1-3,5.2.4-1.1,COMPLEMENTARITY
5.1-3,5.2.4-1.2,OVERLAP
5.1-3,5.2.4-2,COMPLEMENTARITY
5.1-3,5.2.4-2.1,COMPLEMENTARITY
5.1-3,5.2.4-3,OVERLAP
5.1-3,5.2.5-1,COMPLEMENTARITY
5.1-3,5.2.5-2,OVERLAP
5.1-3,5.2.5-2.1,OVERLAP
5.1-3,5.2.5-3,OVERLAP
5.1-3,5.2.5-4,COMPLEMENTARITY
5.1-3,5.2.5-4.1,NO_RELATION
5.1-3,5.3.1-1,COMPLEMENTARITY
5.1-3,5.3.1-2,COMPLEMENTARITY
5.1-3,5.3.1-2.1,COMPLEMENTARITY
5.1-3,5.3.1-2.2,NO_RELATION
5.1-3,5.3.1-3,COMPLEMENTARITY
5.1-3,5.4.1-1,COMPLEMENTARITY
5.1-3,5.4.1-1.1,COMPLEMENTARITY
5.1-3,5.4.1-2,COMPLEMENTARITY
5.1-3,5.4.1-3,COMPLEMENTARITY
5.1-3,5.4.2-1,COMPLEMENTARITY
5.1-3,5.4.2-2,OVERLAP
5.1-3,5.4.2-3,NO_RELATION
5.1-3,5.4.2-4,NO_RELATION
5.1-3,5.5.1-1,COMPLEMENTARITY
5.1-3,5.5.1-2,COMPLEMENTARITY
5.1-4,5.1.1-1,NO_RELATION
5.1-4,5.1.1-1.1,COMPLEMENTARITY
5.1-4,5.1.1-2,COMPLEMENTARITY
5.1-4,5.1.1-2.1,OVERLAP
5.1-4,5.1.1-2.2,COMPLEMENTARITY
5.1-4,5.1.2-1,COMPLEMENTARITY
5.1-4,5.1.2-1.1,COMPLEMENTARITY
5.1-4,5.1.2-2,COMPLEMENTARITY
5.1-4,5.1.2-3,COMPLEMENTARITY
5.1-4,5.1.2-4,COMPLEMENTARITY
5.1-4,5.1.2-5,COMPLEMENTARITY
5.1-4,5.1.2-5.1,COMPLEMENTARITY
5.1-4,5.1.2-6,NO_RELATION
5.1-4,5.1.2-7,COMPLEMENTARITY
5.1-4,5.1.3-1,COMPLEMENTARITY
5.1-4,5.1.3-1.1,COMPLEMENTARITY
5.1-4,5.1.3-1.2,COMPLEMENTARITY
5.1-4,5.1.3-1.3,COMPLEMENTARITY
5.1-4,5.1.3-2,COMPLEMENTARITY
5.1-4,5.1.3-3,COMPLEMENTARITY
5.1-4,5.1.3-4,COMPLEMENTARITY
5.1-4,5.1.4-1,COMPLEMENTARITY
5.1-4,5.1.4-2,COMPLEMENTARITY
5.1-4,5.1.4-3,COMPLEMENTARITY
5.1-4,5.1.4-4,COMPLEMENTARITY
5.1-4,5.1.4-5,COMPLEMENTARITY
5.1-4,5.2.1-1,COMPLEMENTARITY
5.1-4,5.2.1-2,COMPLEMENTARITY
5.1-4,5.2.1-3,OVERLAP
5.1-4,5.2.1-3.1,COMPLEMENTARITY
5.1-4,5.2.1-4,OVERLAP
5.1-4,5.2.1-4.1,COMPLEMENTARITY
5.1-4,5.2.1-4.2,OVERLAP
5.1-4,5.2.2-1,COMPLEMENTARITY
5.1-4,5.2.2-2,COMPLEMENTARITY
5.1-4,5.2.2-3,OVERLAP
5.1-4,5.2.2-4,COMPLEMENTARITY
5.1-4,5.2.2-5,COMPLEMENTARITY
5.1-4,5.2.2-6,COMPLEMENTARITY
5.1-4,5.2.3-1,COMPLEMENTARITY
5.1-4,5.2.3-2,OVERLAP
5.1-4,5.2.3-2.1,COMPLEMENTARITY
5.1-4,5.2.3-2.2,COMPLEMENTARITY
5.1-4,5.2.3-3,COMPLEMENTARITY
5.1-4,5.2.3-4,COMPLEMENTARITY
5.1-4,5.2.4-1,COMPLEMENTARITY
5.1-4,5.2.4-1.1,COMPLEMENTARITY
5.1-4,5.2.4-1.2,COMPLEMENTARITY
5.1-4,5.2.4-2,COMPLEMENTARITY
5.1-4,5.2.4-2.1,COMPLEMENTARITY
5.1-4,5.2.4-3,COMPLEMENTARITY
5.1-4,5.2.5-1,COMPLEMENTARITY
5.1-4,5.2.5-2,COMPLEMENTARITY
5.1-4,5.2.5-2.1,COMPLEMENTARITY
5.1-4,5.2.5-3,COMPLEMENTARITY
5.1-4,5.2.5-4,COMPLEMENTARITY
5.1-4,5.2.5-4.1,COMPLEMENTARITY
5.1-4,5.3.1-1,COMPLEMENTARITY
5.1-4,5.3.1-2,OVERLAP
5.1-4,5.3.1-2.1,COMPLEMENTARITY
5.1-4,5.3.1-2.2,OVERLAP
5.1-4,5.3.1-3,OVERLAP
5.1-4,5.4.1-1,COMPLEMENTARITY
5.1-4,5.4.1-1.1,COMPLEMENTARITY
5.1-4,5.4.1-2,COMPLEMENTARITY
5.1-4,5.4.1-3,COMPLEMENTARITY
5.1-4,5.4.2-1,COMPLEMENTARITY
5.1-4,5.4.2-2,COMPLEMENTARITY
5.1-4,5.4.2-3,COMPLEMENTARITY
5.1-4,5.4.2-4,COMPLEMENTARITY
5.1-4,5.5.1-1,COMPLEMENTARITY
5.1-4,5.5.1-2,COMPLEMENTARITY
5.1-5,5.1.1-1,COMPLEMENTARITY
5.1-5,5.1.1-1.1,COMPLEMENTARITY
5.1-5,5.1.1-2,COMPLEMENTARITY
5.1-5,5.1.1-2.1,COMPLEMENTARITY
5.1-5,5.1.1-2.2,COMPLEMENTARITY
5.1-5,5.1.2-1,COMPLEMENTARITY
5.1-5,5.1.2-1.1,COMPLEMENTARITY
5.1-5,5.1.2-2,OVERLAP
5.1-5,5.1.2-3,COMPLEMENTARITY
5.1-5,5.1.2-4,COMPLEMENTARITY
5.1-5,5.1.2-5,COMPLEMENTARITY
5.1-5,5.1.2-5.1,COMPLEMENTARITY
5.1-5,5.1.2-6,COMPLEMENTARITY
5.1-5,5.1.2-7,COMPLEMENTARITY
5.1-5,5.1.3-1,COMPLEMENTARITY
5.1-5,5.1.3-1.1,COMPLEMENTARITY
5.1-5,5.1.3-1.2,COMPLEMENTARITY
5.1-5,5.1.3-1.3,COMPLEMENTARITY
5.1-5,5.1.3-2,COMPLEMENTARITY
5.1-5,5.1.3-3,COMPLEMENTARITY
5.1-5,5.1.3-4,COMPLEMENTARITY
5.1-5,5.1.4-1,COMPLEMENTARITY
5.1-5,5.1.4-2,COMPLEMENTARITY
5.1-5,5.1.4-3,COMPLEMENTARITY
5.1-5,5.1.4-4,COMPLEMENTARITY
5.1-5,5.1.4-5,COMPLEMENTARITY
5.1-5,5.2.1-1,COMPLEMENTARITY
5.1-5,5.2.1-2,COMPLEMENTARITY
5.1-5,5.2.1-3,NO_RELATION
5.1-5,5.2.1-3.1,NO_RELATION
5.1-5,5.2.1-4,COMPLEMENTARITY
5.1-5,5.2.1-4.1,NO_RELATION
5.1-5,5.2.1-4.2,COMPLEMENTARITY
5.1-5,5.2.2-1,OVERLAP
5.1-5,5.2.2-2,COMPLEMENTARITY
5.1-5,5.2.2-3,COMPLEMENTARITY
5.1-5,5.2.2-4,OVERLAP
5.1-5,5.2.2-5,COMPLEMENTARITY
5.1-5,5.2.2-6,COMPLEMENTARITY
5.1-5,5.2.3-1,COMPLEMENTARITY
5.1-5,5.2.3-2,COMPLEMENTARITY
5.1-5,5.2.3-2.1,COMPLEMENTARITY
5.1-5,5.2.3-2.2,COMPLEMENTARITY
5.1-5,5.2.3-3,COMPLEMENTARITY
5.1-5,5.2.3-4,COMPLEMENTARITY
5.1-5,5.2.4-1,COMPLEMENTARITY
5.1-5,5.2.4-1.1,COMPLEMENTARITY
5.1-5,5.2.4-1.2,COMPLEMENTARITY
5.1-5,5.2.4-2,COMPLEMENTARITY
5.1-5,5.2.4-2.1,COMPLEMENTARITY
5.1-5,5.2.4-3,COMPLEMENTARITY
5.1-5,5.2.5-1,COMPLEMENTARITY
5.1-5,5.2.5-2,COMPLEMENTARITY
5.1-5,5.2.5-2.1,COMPLEMENTARITY
5.1-5,5.2.5-3,COMPLEMENTARITY
5.1-5,5.2.5-4,COMPLEMENTARITY
5.1-5,5.2.5-4.1,COMPLEMENTARITY
5.1-5,5.3.1-1,COMPLEMENTARITY
5.1-5,5.3.1-2,OVERLAP
5.1-5,5.3.1-2.1,COMPLEMENTARITY
5.1-5,5.3.1-2.2,COMPLEMENTARITY
5.1-5,5.3.1-3,COMPLEMENTARITY
5.1-5,5.4.1-1,COMPLEMENTARITY
5.1-5,5.4.1-1.1,COMPLEMENTARITY
5.1-5,5.4.1-2,COMPLEMENTARITY
5.1-5,5.4.1-3,COMPLEMENTARITY
5.1-5,5.4.2-1,COMPLEMENTARITY
5.1-5,5.4.2-2,COMPLEMENTARITY
5.1-5,5.4.2-3,COMPLEMENTARITY
5.1-5,5.4.2-4,NO_RELATION
5.1-5,5.5.1-1,NO_RELATION
5.1-5,5.5.1-2,COMPLEMENTARITY
5.2-1,5.1.1-1,COMPLEMENTARITY
5.2-1,5.1.1-1.1,COMPLEMENTARITY
5.2-1,5.1.1-2,NO_RELATION
5.2-1,5.1.1-2.1,COMPLEMENTARITY
5.2-1,5.1.1-2.2,COMPLEMENTARITY
5.2-1,5.1.2-1,COMPLEMENTARITY
5.2-1,5.1.2-1.1,COMPLEMENTARITY
5.2-1,5.1.2-2,COMPLEMENTARITY
5.2-1,5.1.2-3,COMPLEMENTARITY
5.2-1,5.1.2-4,COMPLEMENTARITY
5.2-1,5.1.2-5,COMPLEMENTARITY
5.2-1,5.1.2-5.1,COMPLEMENTARITY
5.2-1,5.1.2-6,COMPLEMENTARITY
5.2-1,5.1.2-7,COMPLEMENTARITY
5.2-1,5.1.3-1,OVERLAP
5.2-1,5.1.3-1.1,COMPLEMENTARITY
5.2-1,5.1.3-1.2,COMPLEMENTARITY
5.2-1,5.1.3-1.3,COMPLEMENTARITY
5.2-1,5.1.3-2,COMPLEMENTARITY
5.2-1,5.1.3-3,COMPLEMENTARITY
5.2-1,5.1.3-4,COMPLEMENTARITY
5.2-1,5.1.4-1,COMPLEMENTARITY
5.2-1,5.1.4-2,COMPLEMENTARITY
5.2-1,5.1.4-3,COMPLEMENTARITY
5.2-1,5.1.4-4,COMPLEMENTARITY
5.2-1,5.1.4-5,COMPLEMENTARITY
5.2-1,5.2.1-1,COMPLEMENTARITY
5.2-1,5.2.1-2,COMPLEMENTARITY
5.2-1,5.2.1-3,COMPLEMENTARITY
5.2-1,5.2.1-3.1,COMPLEMENTARITY
5.2-1,5.2.1-4,COMPLEMENTARITY
5.2-1,5.2.1-4.1,NO_RELATION
5.2-1,5.2.1-4.2,OVERLAP
5.2-1,5.2.2-1,COMPLEMENTARITY
5.2-1,5.2.2-2,COMPLEMENTARITY
5.2-1,5.2.2-3,COMPLEMENTARITY
5.2-1,5.2.2-4,OVERLAP
5.2-1,5.2.2-5,COMPLEMENTARITY
