src_id,tgt_id,gemini_embed_score,predicted_rel
5.5-8,5.2.1-1,0.7587,OVERLAP
5.11-4,5.4.1-1,0.7583,OVERLAP
5.3-1,5.2.3-1,0.7582,OVERLAP
5.5-2,5.2.2-4,0.7582,OVERLAP
5.4-2,5.1.2-2,0.7582,OVERLAP
5.3-7,5.3.1-2.2,0.758,OVERLAP
5.7-2,5.1.4-5,0.758,OVERLAP
5.3-10,5.1.3-3,0.758,OVERLAP
5.2-1,5.1.3-3,0.758,OVERLAP
5.0-1,5.1.2-4,0.758,OVERLAP
5.4-2,5.2.1-2,0.7578,OVERLAP
5.1-2,5.2.1-4,0.7575,OVERLAP
5.11-4,5.3.1-2.2,0.7575,OVERLAP
5.6-9,5.2.1-4.1,0.7572,OVERLAP
5.2-1,5.3.1-2.2,0.7571,OVERLAP
5.12-2,5.4.1-1,0.7569,OVERLAP
5.5-8,5.2.5-1,0.7569,OVERLAP
5.4-4,5.2.1-4.1,0.7566,OVERLAP
5.1-2,5.1.3-1,0.7565,OVERLAP
5.5-5,5.2.1-4,0.7564,OVERLAP
5.4-2,5.2.3-1,0.7562,OVERLAP
5.13-1B,5.1.3-1,0.7562,OVERLAP
5.2-3,5.4.1-1.1,0.7558,OVERLAP
5.6-9,5.1.1-2.2,0.7557,OVERLAP
5.4-4,5.2.2-4,0.7557,OVERLAP
5.5-2,5.1.3-3,0.7554,OVERLAP
5.3-12,5.1.2-4,0.7554,OVERLAP
5.2-3,5.3.1-2.2,0.7553,OVERLAP
5.0-1,5.2.3-2,0.7552,OVERLAP
5.3-10,5.2.5-1,0.7552,OVERLAP
5.6-5,5.1.3-1.2,0.7551,OVERLAP
5.5-7,5.2.1-4,0.7541,OVERLAP
5.3-5,5.4.1-2,0.754,OVERLAP
5.6-2,5.2.1-4,0.754,OVERLAP
5.13-1B,5.1.2-2,0.754,OVERLAP
5.12-2,5.2.1-1,0.7538,OVERLAP
5.3-8,5.2.2-4,0.7538,OVERLAP
5.5-8,5.2.1-4,0.7537,OVERLAP
5.1-2,5.1.3-3,0.7536,OVERLAP
5.6-4A,5.2.1-4,0.7535,OVERLAP
5.13-1B,5.2.1-4,0.7534,OVERLAP
5.4-4,5.2.1-4,0.7529,OVERLAP
5.3-1,5.4.1-1.1,0.7529,OVERLAP
5.8-2,5.3.1-1,0.7528,OVERLAP
5.1-2,5.2.1-4.1,0.7526,OVERLAP
5.1-2,5.2.3-1,0.7525,OVERLAP
5.5-5,5.2.1-2,0.7524,OVERLAP
5.5-5,5.2.5-1,0.7523,OVERLAP
5.6-9,5.4.1-1,0.7522,OVERLAP
5.13-1B,5.2.2-2,0.7522,OVERLAP
5.11-4,5.2.1-4.1,0.7522,OVERLAP
5.5-5,5.2.2-1,0.7522,OVERLAP
5.8-3,5.1.4-5,0.752,OVERLAP
5.3-14,5.3.1-3,0.7518,OVERLAP
5.5-5,5.1.3-1.1,0.7518,OVERLAP
5.4-3,5.2.3-1,0.7514,OVERLAP
5.2-3,5.2.5-1,0.7513,OVERLAP
5.1-2,5.2.1-2,0.7512,OVERLAP
5.12-1,5.3.1-2.2,0.7512,OVERLAP
5.3-10,5.4.1-1.1,0.7509,OVERLAP
5.4-4,5.2.3-2.1,0.7509,OVERLAP
5.1-2,5.2.3-2.1,0.7509,OVERLAP
5.2-1,5.1.2-4,0.7508,OVERLAP
5.6-9,5.2.1-4.2,0.7507,OVERLAP
5.12-3,5.4.2-4,0.7506,OVERLAP
5.4-3,5.2.5-1,0.7506,OVERLAP
5.6-9,5.2.5-1,0.7506,OVERLAP
5.13-1A,5.2.1-4.1,0.7505,OVERLAP
5.6-2,5.2.2-4,0.7504,OVERLAP
5.4-2,5.2.1-4,0.7503,OVERLAP
5.4-4,5.1.3-1.1,0.7502,OVERLAP
5.5-2,5.2.5-2.1,0.7502,OVERLAP
5.9-1,5.1.2-2,0.7499,OVERLAP
5.3-4A,5.4.1-1,0.7498,OVERLAP
5.3-13,5.4.1-1.1,0.7498,OVERLAP
5.1-2,5.1.2-4,0.7495,OVERLAP
5.12-3,5.3.1-3,0.7494,OVERLAP
5.3-10,5.4.1-2,0.7494,OVERLAP
5.12-3,5.1.2-7,0.7494,OVERLAP
5.3-11,5.4.1-2,0.7494,OVERLAP
5.3-15B,5.4.1-1.1,0.7493,OVERLAP
5.3-15B,5.4.1-1,0.7489,OVERLAP
5.1-2,5.1.2-2,0.7486,OVERLAP
5.4-4,5.1.2-4,0.7486,OVERLAP
5.4-4,5.1.1-1,0.7483,OVERLAP
5.3-5,5.3.1-2.2,0.7483,OVERLAP
5.6-4A,5.2.2-4,0.7483,OVERLAP
5.4-4,5.1.3-3,0.7482,OVERLAP
5.4-4,5.4.1-2,0.7482,OVERLAP
5.4-3,5.2.1-2,0.7477,OVERLAP
5.3-1,5.2.2-4,0.7476,OVERLAP
5.3-4B,5.2.2-4,0.7475,OVERLAP
5.3-11,5.2.2-4,0.7473,OVERLAP
5.5-2,5.1.2-4,0.7472,OVERLAP
5.2-1,5.1.2-1,0.7468,OVERLAP
5.6-9,5.1.3-1,0.7468,OVERLAP
5.6-1,5.1.3-1.2,0.7467,OVERLAP
5.1-3,5.2.2-1,0.7465,OVERLAP
5.6-8,5.2.1-2,0.7464,OVERLAP
5.7-1,5.2.3-1,0.7463,OVERLAP
5.12-3,5.3.1-2.2,0.7463,OVERLAP
5.4-1,5.2.1-2,0.7462,OVERLAP
5.11-4,5.3.1-1,0.7462,OVERLAP
5.12-3,5.2.1-4,0.7461,OVERLAP
5.13-1B,5.2.2-4,0.7458,OVERLAP
5.2-1,5.1.3-1.1,0.7457,OVERLAP
5.1-3,5.2.3-1,0.7457,OVERLAP
5.1-4,5.4.1-1,0.7457,OVERLAP
5.4-4,5.2.1-1,0.7455,OVERLAP
5.5-8,5.4.1-1.1,0.7453,OVERLAP
5.1-2,5.4.1-1,0.7452,OVERLAP
5.3-14,5.1.3-2,0.7451,OVERLAP
5.4-2,5.1.3-1,0.745,OVERLAP
5.3-10,5.2.4-1.2,0.745,OVERLAP
5.12-3,5.1.1-2.2,0.7449,OVERLAP
5.3-13,5.2.3-1,0.7449,OVERLAP
5.5-2,5.1.3-1,0.7448,OVERLAP
5.12-3,5.2.5-1,0.7447,OVERLAP
5.2-1,5.3.1-3,0.7446,OVERLAP
5.10-1,5.4.2-2,0.7446,OVERLAP
5.12-3,5.1.3-1,0.7446,OVERLAP
5.1-5,5.1.2-2,0.7445,OVERLAP
5.5-2,5.2.3-2,0.7445,OVERLAP
5.4-4,5.2.5-2.1,0.7445,OVERLAP
5.1-3,5.2.5-1,0.7444,OVERLAP
5.5-8,5.1.3-3,0.7444,OVERLAP
5.11-4,5.2.1-4.2,0.7443,OVERLAP
5.3-8,5.4.1-2,0.744,OVERLAP
5.1-5,5.2.1-4,0.744,OVERLAP
5.3-8,5.4.1-1.1,0.744,OVERLAP
5.4-4,5.2.3-2,0.7439,OVERLAP
5.5-2,5.2.1-2,0.7438,OVERLAP
5.2-3,5.2.1-1,0.7437,OVERLAP
5.1-3,5.1.3-3,0.7437,OVERLAP
5.8-2,5.1.4-5,0.7437,OVERLAP
5.11-4,5.5.1-2,0.7434,OVERLAP
5.3-10,5.2.1-4.1,0.7434,OVERLAP
5.6-8,5.2.1-4,0.7433,OVERLAP
5.4-4,5.1.1-2,0.7432,OVERLAP
5.6-4A,5.2.1-2,0.7432,OVERLAP
5.3-10,5.2.2-4,0.7432,OVERLAP
5.1-4,5.3.1-2.2,0.7431,OVERLAP
5.3-14,5.2.3-1,0.7431,OVERLAP
5.4-4,5.1.3-2,0.743,OVERLAP
5.3-10,5.1.2-4,0.7429,OVERLAP
5.6-2,5.2.5-4.1,0.7428,OVERLAP
5.4-4,5.1.4-3,0.7427,OVERLAP
5.5-6,5.2.1-4,0.7427,OVERLAP
5.3-10,5.1.3-1,0.7426,OVERLAP
5.0-1,5.1.3-1,0.7426,OVERLAP
5.1-5,5.2.2-1,0.7425,OVERLAP
5.2-3,5.1.3-2,0.7425,OVERLAP
5.1-5,5.2.1-2,0.7425,OVERLAP
5.12-3,5.2.2-6,0.7425,OVERLAP
5.8-1,5.3.1-1,0.7425,OVERLAP
5.1-2,5.2.2-4,0.7424,OVERLAP
5.13-1B,5.2.3-1,0.7423,OVERLAP
5.5-1,5.2.3-1,0.7423,OVERLAP
5.2-3,5.2.3-1,0.742,OVERLAP
5.12-3,5.1.3-3,0.7419,OVERLAP
5.1-3,5.2.1-4,0.7418,OVERLAP
5.1-2,5.2.5-1,0.7417,OVERLAP
5.5-1,5.2.5-1,0.7415,OVERLAP
5.4-4,5.3.1-3,0.7414,OVERLAP
5.11-4,5.2.5-4.1,0.7414,OVERLAP
5.2-3,5.1.3-3,0.7413,OVERLAP
5.2-3,5.4.2-4,0.7411,OVERLAP
5.8-3,5.2.3-4,0.741,OVERLAP
5.4-4,5.1.1-2.2,0.741,OVERLAP
5.6-4A,5.2.3-1,0.741,OVERLAP
5.12-3,5.1.2-4,0.7409,OVERLAP
5.1-5,5.2.2-2,0.7408,OVERLAP
5.2-1,5.4.1-2,0.7407,OVERLAP
5.2-1,5.1.1-2,0.7404,OVERLAP
5.12-3,5.1.3-2,0.7404,OVERLAP
5.3-14,5.2.3-2,0.7403,OVERLAP
5.3-11,5.1.3-2,0.7403,OVERLAP
5.5-5,5.1.3-1,0.7403,OVERLAP
5.3-7,5.4.1-1.1,0.7402,OVERLAP
5.6-4A,5.2.2-1,0.7401,OVERLAP
5.6-4A,5.2.5-4.1,0.7401,OVERLAP
5.8-1,5.2.2-6,0.74,OVERLAP
5.3-4B,5.2.1-3.1,0.74,OVERLAP
5.1-5,5.1.3-1,0.74,OVERLAP
5.1-4,5.2.2-4,0.7399,OVERLAP
5.2-1,5.2.1-2,0.7399,OVERLAP
5.11-4,5.2.2-6,0.7398,OVERLAP
5.12-3,5.4.1-1,0.7398,OVERLAP
5.7-2,5.2.1-4.2,0.7397,OVERLAP
5.7-2,5.3.1-3,0.7397,OVERLAP
5.4-2,5.2.2-4,0.7397,OVERLAP
5.3-2,5.2.5-1,0.7397,OVERLAP
5.1-2,5.2.5-2.1,0.7396,OVERLAP
5.4-2,5.4.1-1,0.7395,OVERLAP
5.3-6B,5.3.1-3,0.7395,OVERLAP
5.6-9,5.4.1-2,0.7395,OVERLAP
5.5-2,5.4.1-1,0.7393,OVERLAP
5.3-2,5.4.1-2,0.7393,OVERLAP
5.4-2,5.2.1-4.1,0.7392,OVERLAP
5.3-4A,5.2.1-3.1,0.739,OVERLAP
5.1-2,5.4.1-1.1,0.7388,OVERLAP
5.8-2,5.4.1-1,0.7388,OVERLAP
5.2-1,5.2.5-4.1,0.7387,OVERLAP
5.8-1,5.2.2-4,0.7387,OVERLAP
5.5-2,5.2.3-2.1,0.7386,OVERLAP
5.8-2,5.1.3-1,0.7386,OVERLAP
5.3-2,5.3.1-3,0.7386,OVERLAP
5.8-3,5.2.2-6,0.7385,OVERLAP
5.2-1,5.2.3-2,0.7384,OVERLAP
5.3-6B,5.1.2-4,0.7383,OVERLAP
5.8-3,5.3.1-3,0.7383,OVERLAP
5.6-9,5.1.2-7,0.7382,OVERLAP
5.3-8,5.1.3-2,0.7381,OVERLAP
5.11-4,5.4.1-3,0.7379,OVERLAP
5.2-3,5.1.1-1,0.7379,OVERLAP
5.3-7,5.2.5-1,0.7379,OVERLAP
5.2-3,5.1.3-1.1,0.7378,OVERLAP
5.3-10,5.2.1-2,0.7378,OVERLAP
5.5-5,5.3.1-2.2,0.7378,OVERLAP
5.3-13,5.3.1-3,0.7377,OVERLAP
5.8-2,5.2.2-6,0.7376,OVERLAP
5.3-2,5.2.3-2.1,0.7376,OVERLAP
5.6-4A,5.1.4-5,0.7375,OVERLAP
5.3-11,5.1.1-2.1,0.7374,OVERLAP
5.3-7,5.2.2-4,0.7374,OVERLAP
5.6-9,5.4.1-3,0.7374,OVERLAP
5.1-3,5.2.1-4.1,0.7374,OVERLAP
5.1-2,5.1.4-3,0.7373,OVERLAP
5.5-2,5.4.1-2,0.7372,OVERLAP
5.5-8,5.5.1-1,0.7372,OVERLAP
5.6-7,5.1.3-1.2,0.7369,OVERLAP
5.4-3,5.2.2-4,0.7368,OVERLAP
5.1-2,5.2.5-4.1,0.7368,OVERLAP
5.3-10,5.1.2-2,0.7367,OVERLAP
5.2-1,5.2.5-2.1,0.7367,OVERLAP
5.5-8,5.2.2-1,0.7365,OVERLAP
5.1-2,5.2.1-1,0.7365,OVERLAP
5.4-2,5.2.5-1,0.7365,OVERLAP
5.3-14,5.2.1-1,0.7364,OVERLAP
5.12-2,5.1.3-2,0.7363,OVERLAP
5.3-7,5.4.1-2,0.7363,OVERLAP
5.5-5,5.2.2-4,0.7362,OVERLAP
5.1-5,5.2.5-1,0.7362,OVERLAP
5.4-1,5.2.3-1,0.7361,OVERLAP
5.5-6,5.1.3-3,0.7361,OVERLAP
5.3-9,5.4.1-2,0.7359,OVERLAP
5.13-1A,5.2.1-4,0.7359,OVERLAP
5.13-1B,5.2.1-1,0.7359,OVERLAP
5.2-1,5.1.1-1,0.7359,OVERLAP
5.1-3,5.2.2-4,0.7358,OVERLAP
5.6-4A,5.1.3-1,0.7357,OVERLAP
5.11-4,5.1.4-2,0.7356,OVERLAP
5.7-2,5.2.1-4.1,0.7356,OVERLAP
5.2-1,5.1.2-7,0.7355,OVERLAP
5.5-5,5.4.1-1,0.7354,OVERLAP
5.3-13,5.2.5-1,0.7354,OVERLAP
5.8-2,5.3.1-2.2,0.7354,OVERLAP
5.5-8,5.1.3-2,0.7354,OVERLAP
5.5-5,5.1.3-3,0.7353,OVERLAP
5.3-11,5.4.1-1.1,0.7352,OVERLAP
5.6-1,5.2.2-4,0.7352,OVERLAP
5.4-4,5.2.5-4.1,0.7351,OVERLAP
5.8-2,5.2.1-1,0.7351,OVERLAP
5.1-2,5.2.2-1,0.735,OVERLAP
5.5-1,5.4.1-1,0.735,OVERLAP
5.8-1,5.1.3-3,0.7348,OVERLAP
5.8-2,5.2.2-4,0.7348,OVERLAP
5.4-4,5.1.2-1,0.7347,OVERLAP
5.3-10,5.2.3-2.1,0.7345,OVERLAP
5.8-1,5.2.1-2,0.7344,OVERLAP
5.5-8,5.1.2-1,0.7344,OVERLAP
5.3-2,5.2.3-2,0.7344,OVERLAP
5.1-2,5.1.4-5,0.7344,OVERLAP
5.8-1,5.2.5-1,0.7343,OVERLAP
5.2-1,5.2.3-2.1,0.7343,OVERLAP
5.6-2,5.2.1-1,0.7343,OVERLAP
5.4-2,5.2.1-1,0.7343,OVERLAP
5.2-3,5.2.1-4.1,0.7342,OVERLAP
5.6-4A,5.4.1-1,0.7342,OVERLAP
5.12-3,5.4.2-3,0.7342,OVERLAP
5.6-9,5.2.4-3,0.734,OVERLAP
5.3-12,5.2.5-2,0.734,OVERLAP
5.3-10,5.1.1-1,0.734,OVERLAP
5.3-10,5.3.1-3,0.734,OVERLAP
5.13-1B,5.2.5-4.1,0.7339,OVERLAP
5.5-8,5.1.1-1,0.7339,OVERLAP
5.8-2,5.2.3-1,0.7339,OVERLAP
5.8-3,5.4.1-3,0.7339,OVERLAP
5.2-1,5.1.2-2,0.7339,OVERLAP
5.3-4B,5.1.3-1,0.7338,OVERLAP
5.3-13,5.1.3-2,0.7337,OVERLAP
5.4-2,5.1.4-5,0.7337,OVERLAP
5.6-2,5.2.5-1,0.7336,OVERLAP
5.8-3,5.3.1-1,0.7336,OVERLAP
5.1-2,5.1.2-6,0.7335,OVERLAP
5.3-13,5.2.3-2,0.7335,OVERLAP
5.5-8,5.3.1-2.2,0.7334,OVERLAP
5.12-3,5.3.1-2,0.7334,OVERLAP
5.12-2,5.3.1-3,0.7334,OVERLAP
5.3-16,5.2.5-1,0.7333,OVERLAP
5.12-2,5.3.1-2,0.7333,OVERLAP
5.11-4,5.2.3-4,0.7331,OVERLAP
5.5-5,5.2.1-1,0.733,OVERLAP
5.3-14,5.4.1-2,0.733,OVERLAP
5.5-8,5.1.1-2,0.7329,OVERLAP
5.6-8,5.2.2-3,0.7329,OVERLAP
5.5-1,5.2.2-4,0.7328,OVERLAP
5.8-2,5.2.1-4.1,0.7328,OVERLAP
5.1-1,5.4.1-1,0.7326,OVERLAP
5.5-7,5.1.2-4,0.7326,OVERLAP
5.4-4,5.1.4-5,0.7325,OVERLAP
5.8-2,5.2.5-1,0.7325,OVERLAP
5.3-1,5.3.1-3,0.7324,OVERLAP
5.1-2,5.1.2-1,0.7324,OVERLAP
5.3-15B,5.3.1-2.2,0.7323,OVERLAP
5.0-1,5.1.2-1,0.7323,OVERLAP
5.8-1,5.1.3-1,0.7322,OVERLAP
5.8-3,5.1.2-7,0.7322,OVERLAP
5.6-2,5.1.3-1.2,0.7321,OVERLAP
5.5-8,5.1.2-3,0.7321,OVERLAP
5.2-3,5.1.2-2,0.732,OVERLAP
5.6-2,5.1.3-1,0.732,OVERLAP
5.5-1,5.1.3-3,0.732,OVERLAP
5.4-1,5.2.1-1,0.732,OVERLAP
5.3-15B,5.4.1-2,0.7319,OVERLAP
5.1-3,5.1.3-1,0.7319,OVERLAP
5.12-1,5.4.1-1,0.7319,OVERLAP
5.5-2,5.1.2-7,0.7319,OVERLAP
5.8-2,5.2.5-4.1,0.7318,OVERLAP
5.5-8,5.4.2-3,0.7318,OVERLAP
5.5-2,5.2.4-1.2,0.7318,OVERLAP
5.4-2,5.1.1-2.2,0.7318,OVERLAP
5.11-3,5.3.1-2.2,0.7318,OVERLAP
5.5-8,5.1.4-5,0.7316,OVERLAP
5.1-1,5.2.1-2,0.7316,OVERLAP
5.8-3,5.3.1-2.2,0.7316,OVERLAP
5.4-2,5.2.2-1,0.7316,OVERLAP
5.8-1,5.2.3-1,0.7315,OVERLAP
5.3-7,5.3.1-3,0.7314,OVERLAP
5.3-4B,5.1.3-1.1,0.7314,OVERLAP
5.0-1,5.1.3-2,0.7313,OVERLAP
5.5-2,5.2.1-1,0.7313,OVERLAP
5.5-2,5.4.2-3,0.7312,OVERLAP
5.4-2,5.2.1-4.2,0.7312,OVERLAP
5.11-3,5.4.2-4,0.731,OVERLAP
5.1-2,5.2.1-4.2,0.7309,OVERLAP
5.3-10,5.2.1-1,0.7308,OVERLAP
5.3-7,5.1.3-1,0.7308,OVERLAP
5.11-4,5.2.1-4,0.7307,OVERLAP
5.3-9,5.4.1-1,0.7307,OVERLAP
5.1-2,5.1.3-1.1,0.7307,OVERLAP
5.4-4,5.2.1-4.2,0.7306,OVERLAP
5.2-1,5.2.4-2,0.7306,OVERLAP
5.3-9,5.2.4-1.2,0.7305,OVERLAP
5.6-9,5.2.3-2.1,0.7305,OVERLAP
5.3-16,5.3.1-1,0.7304,OVERLAP
5.3-6B,5.2.5-4.1,0.7304,OVERLAP
5.5-5,5.2.3-1,0.7304,OVERLAP
5.8-2,5.1.3-3,0.7304,OVERLAP
5.3-3,5.3.1-3,0.7303,OVERLAP
5.6-9,5.2.2-4,0.7303,OVERLAP
5.4-2,5.1.3-3,0.7303,OVERLAP
5.3-2,5.1.3-1.1,0.7302,OVERLAP
5.2-1,5.2.4-1.1,0.7302,OVERLAP
5.8-2,5.1.3-2,0.7302,OVERLAP
5.1-2,5.1.3-2,0.7301,OVERLAP
5.11-4,5.1.3-4,0.7299,OVERLAP
5.1-3,5.1.2-2,0.7299,OVERLAP
5.7-1,5.1.3-3,0.7299,OVERLAP
5.1-3,5.2.3-2.1,0.7298,OVERLAP
5.2-3,5.2.1-2,0.7297,OVERLAP
5.11-1,5.3.1-1,0.7297,OVERLAP
5.8-3,5.1.2-4,0.7297,OVERLAP
5.13-1B,5.1.3-3,0.7297,OVERLAP
5.3-4B,5.2.3-1,0.7297,OVERLAP
5.2-1,5.3.1-1,0.7297,OVERLAP
5.7-2,5.4.1-1,0.7296,OVERLAP
5.3-2,5.2.1-2,0.7296,OVERLAP
5.6-2,5.3.1-2.2,0.7295,OVERLAP
5.1-1,5.2.1-4,0.7295,OVERLAP
5.4-1,5.2.2-4,0.7294,OVERLAP
5.6-8,5.1.3-1,0.7294,OVERLAP
5.5-8,5.2.2-5,0.7294,OVERLAP
5.0-1,5.5.1-2,0.7294,OVERLAP
5.5-1,5.1.3-1,0.7294,OVERLAP
5.3-13,5.4.1-2,0.7293,OVERLAP
5.3-2,5.1.2-1,0.7293,OVERLAP
5.3-4A,5.3.1-2.2,0.7292,OVERLAP
5.3-2,5.1.3-1,0.7292,OVERLAP
5.3-8,5.1.1-2.1,0.7292,OVERLAP
5.11-3,5.4.1-1,0.7292,OVERLAP
5.2-1,5.2.2-5,0.7292,OVERLAP
5.3-14,5.1.4-5,0.7291,OVERLAP
5.0-1,5.2.1-1,0.729,OVERLAP
5.8-3,5.2.1-4,0.729,OVERLAP
5.1-3,5.4.1-1,0.729,OVERLAP
5.3-13,5.1.3-1,0.7289,OVERLAP
5.11-4,5.5.1-1,0.7288,OVERLAP
5.3-6B,5.5.1-2,0.7288,OVERLAP
5.12-2,5.2.2-4,0.7288,OVERLAP
5.3-2,5.1.1-2,0.7288,OVERLAP
5.5-5,5.1.1-1,0.7288,OVERLAP
5.1-2,5.1.2-7,0.7287,OVERLAP
5.1-2,5.2.2-2,0.7287,OVERLAP
5.5-6,5.2.1-4.2,0.7287,OVERLAP
5.3-3,5.2.2-4,0.7286,OVERLAP
5.3-6A,5.4.1-2,0.7286,OVERLAP
5.6-5,5.2.3-1,0.7286,OVERLAP
5.6-3,5.2.2-4,0.7286,OVERLAP
5.1-2,5.3.1-2.2,0.7285,OVERLAP
5.6-2,5.2.5-4,0.7285,OVERLAP
5.5-8,5.2.1-4.2,0.7285,OVERLAP
5.11-4,5.4.1-1.1,0.7285,OVERLAP
5.6-4A,5.1.2-4,0.7284,OVERLAP
5.3-6B,5.4.1-3,0.7284,OVERLAP
5.1-2,5.2.3-2,0.7283,OVERLAP
5.5-8,5.2.3-2,0.7283,OVERLAP
5.6-2,5.1.4-5,0.7282,OVERLAP
5.3-2,5.1.2-4,0.7282,OVERLAP
